category,token,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked
gendered_nouns,actor,1,0.0,1,0.0,1.1526281833648682,0.0,-1.1526281833648682
all_gender_tokens,actor,1,0.0,1,0.0,1.1526281833648682,0.0,-1.1526281833648682
gendered_nouns,sister,1,0.0,1,0.0,1.1278239488601685,0.0,-1.1278239488601685
all_gender_tokens,sister,1,0.0,1,0.0,1.1278239488601685,0.0,-1.1278239488601685
titles,mrs,3,0.0,3,0.0,1.0453370213508606,0.0,-1.0453370213508606
all_gender_tokens,mrs,3,0.0,3,0.0,1.0453370213508606,0.0,-1.0453370213508606
gendered_nouns,husband,2,0.0,2,0.0,0.8325865268707275,0.0,-0.8325865268707275
all_gender_tokens,husband,2,0.0,2,0.0,0.8325865268707275,0.0,-0.8325865268707275
gendered_nouns,son,2,0.0,2,0.0,0.7981047630310059,0.0,-0.7981047630310059
all_gender_tokens,son,2,0.0,2,0.0,0.7981047630310059,0.0,-0.7981047630310059
gendered_nouns,wife,3,0.0,3,0.0,0.6015038192272185,0.0,-0.6015038192272185
all_gender_tokens,wife,3,0.0,3,0.0,0.6015038192272185,0.0,-0.6015038192272185
gendered_nouns,chairman,1,0.0,1,0.0,0.4911996722221374,0.0,-0.4911996722221374
all_gender_tokens,chairman,1,0.0,1,0.0,0.4911996722221374,0.0,-0.4911996722221374
pronouns,herself,1,0.0,1,0.0,0.3672240078449249,0.0,-0.3672240078449249
all_gender_tokens,herself,1,0.0,1,0.0,0.3672240078449249,0.0,-0.3672240078449249
all_gender_tokens,mom,1,0.0,1,0.0,0.3259888887405395,0.0,-0.3259888887405395
gendered_nouns,mom,1,0.0,1,0.0,0.3259888887405395,0.0,-0.3259888887405395
all_gender_tokens,actress,1,0.0,1,0.0,0.2276006639003753,0.0,-0.2276006639003753
gendered_nouns,actress,1,0.0,1,0.0,0.2276006639003753,0.0,-0.2276006639003753
gendered_nouns,businessman,1,0.0,1,0.0,0.1539021879434585,0.0,-0.1539021879434585
all_gender_tokens,businessman,1,0.0,1,0.0,0.1539021879434585,0.0,-0.1539021879434585
