profession,abs_shift
professor,298.55175529420376
physician,130.3157596886158
nurse,125.83257116377354
attorney,93.77453750371933
dentist,73.93013455998151
photographer,59.07203110307455
surgeon,57.914532808586955
journalist,45.37904380261898
psychologist,41.04393048398197
architect,39.6531141102314
composer,35.3896743953228
teacher,30.233705103397376
filmmaker,29.98925346136093
poet,28.591094449162483
model,26.860903872177005
accountant,26.658255327492952
software engineer,24.267970133572817
painter,23.534605488181114
dietitian,22.988412834703922
comedian,9.5532605946064
