profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
professor,received,26.93903061747551,0.0,-26.93903061747551,46.0,0.0,46.0,0.0,0.5856311003799024,0.0
dentist,bds,23.420134763233364,0.0,-23.420134763233364,38.0,0.0,38.0,0.0,0.6163193358745622,0.0
surgeon,surgery,44.18737089633942,24.430167004466057,-19.75720389187336,64.0,48.0,47.0,41.0,0.6904276702553034,0.5089618125930429
nurse,graduated,19.1113560795784,0.0,-19.1113560795784,42.0,0.0,42.0,0.0,0.4550322876090095,0.0
physician,school,15.759962052106856,0.0,-15.759962052106856,32.0,0.0,29.0,0.0,0.4924988141283393,0.0
nurse,practitioner,26.51136979460716,11.17912095785141,-15.332248836755747,60.0,32.0,60.0,32.0,0.4418561632434527,0.3493475299328565
physician,professional,14.31608420610428,0.0,-14.31608420610428,22.0,0.0,22.0,0.0,0.6507311002774672,0.0
professor,interests,60.88373750448227,46.87391084432602,-14.00982666015625,106.0,96.0,106.0,96.0,0.5743748821177572,0.488269904628396
professor,phd,93.76171305775642,79.75840984284878,-14.003303214907646,113.0,110.0,111.0,107.0,0.8297496730774905,0.725076453116807
attorney,matters,11.724954903125765,0.0,-11.724954903125765,22.0,0.0,22.0,0.0,0.5329524955966256,0.0
