profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
professor,university,58.56577757000923,193.48700353503227,134.92122596502304,112.0,371.0,108.0,316.0,0.5229087283036539,0.5215283114151813
professor,research,329.52381847798824,377.2284837514162,47.70466527342796,405.0,516.0,380.0,458.0,0.8136390579703413,0.7310629530066206
attorney,law,55.9622505903244,81.9944404065609,26.032189816236496,94.0,134.0,79.0,106.0,0.5953430913864298,0.6118988090041858
physician,medical,66.38170227408409,89.25069680809975,22.868994534015656,104.0,144.0,91.0,117.0,0.6382855987892702,0.6197965056118038
nurse,nurse,129.8941374719143,152.73244974017143,22.83831226825714,113.0,117.0,99.0,100.0,1.1495056413443745,1.3054055533347986
professor,teaching,0.0,22.6543899923563,22.6543899923563,0.0,47.0,0.0,44.0,0.0,0.4820082977097085
physician,medicine,268.2038897871971,287.6115502566099,19.407660469412804,251.0,267.0,197.0,206.0,1.0685413935744903,1.077196817440487
physician,hospital,14.428233847022057,32.97112521529198,18.54289136826992,30.0,65.0,28.0,63.0,0.4809411282340685,0.5072480802352611
photographer,work,0.0,15.940257489681244,15.940257489681244,0.0,35.0,0.0,31.0,0.0,0.4554359282766069
nurse,especially,0.0,15.52322080731392,15.52322080731392,0.0,42.0,0.0,42.0,0.0,0.3696004954122361
