token,count_topk_unmasked,doc_freq_unmasked,weighted_score_unmasked,mean_attr_unmasked,count_topk_masked,doc_freq_masked,weighted_score_masked,mean_attr_masked,category,weighted_score_diff_masked_minus_unmasked
herself,1,1,0.3672240078449249,0.3672240078449249,0.0,0.0,0.0,0.0,pronouns,-0.3672240078449249
mrs,3,3,1.0453370213508606,0.3484456737836202,0.0,0.0,0.0,0.0,titles,-1.0453370213508606
actor,1,1,1.1526281833648682,1.1526281833648682,0.0,0.0,0.0,0.0,gendered_nouns,-1.1526281833648682
sister,1,1,1.1278239488601685,1.1278239488601685,0.0,0.0,0.0,0.0,gendered_nouns,-1.1278239488601685
husband,2,2,0.8325865268707275,0.4162932634353637,0.0,0.0,0.0,0.0,gendered_nouns,-0.8325865268707275
son,2,2,0.7981047630310059,0.39905238151550293,0.0,0.0,0.0,0.0,gendered_nouns,-0.7981047630310059
wife,3,3,0.6015038192272185,0.2095436751842498,0.0,0.0,0.0,0.0,gendered_nouns,-0.6015038192272185
chairman,1,1,0.4911996722221374,0.4911996722221374,0.0,0.0,0.0,0.0,gendered_nouns,-0.4911996722221374
mom,1,1,0.3259888887405395,0.3259888887405395,0.0,0.0,0.0,0.0,gendered_nouns,-0.3259888887405395
actress,1,1,0.2276006639003753,0.2276006639003753,0.0,0.0,0.0,0.0,gendered_nouns,-0.2276006639003753
businessman,1,1,0.1539021879434585,0.1539021879434585,0.0,0.0,0.0,0.0,gendered_nouns,-0.1539021879434585
actor,1,1,1.1526281833648682,1.1526281833648682,0.0,0.0,0.0,0.0,all_gender_tokens,-1.1526281833648682
sister,1,1,1.1278239488601685,1.1278239488601685,0.0,0.0,0.0,0.0,all_gender_tokens,-1.1278239488601685
mrs,3,3,1.0453370213508606,0.3484456737836202,0.0,0.0,0.0,0.0,all_gender_tokens,-1.0453370213508606
husband,2,2,0.8325865268707275,0.4162932634353637,0.0,0.0,0.0,0.0,all_gender_tokens,-0.8325865268707275
son,2,2,0.7981047630310059,0.39905238151550293,0.0,0.0,0.0,0.0,all_gender_tokens,-0.7981047630310059
wife,3,3,0.6015038192272185,0.2095436751842498,0.0,0.0,0.0,0.0,all_gender_tokens,-0.6015038192272185
chairman,1,1,0.4911996722221374,0.4911996722221374,0.0,0.0,0.0,0.0,all_gender_tokens,-0.4911996722221374
herself,1,1,0.3672240078449249,0.3672240078449249,0.0,0.0,0.0,0.0,all_gender_tokens,-0.3672240078449249
mom,1,1,0.3259888887405395,0.3259888887405395,0.0,0.0,0.0,0.0,all_gender_tokens,-0.3259888887405395
actress,1,1,0.2276006639003753,0.2276006639003753,0.0,0.0,0.0,0.0,all_gender_tokens,-0.2276006639003753
businessman,1,1,0.1539021879434585,0.1539021879434585,0.0,0.0,0.0,0.0,all_gender_tokens,-0.1539021879434585
