profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
accountant,accounting,20.82398262619972,25.184631198644635,4.360648572444916,21.0,22.0,16.0,16.0,0.9916182202952248,1.1447559635747562
accountant,treasurer,0.0,2.166637897491455,2.166637897491455,0.0,1.0,0.0,1.0,0.0,2.166637897491455
accountant,kpmg,0.0,2.145104259252548,2.145104259252548,0.0,1.0,0.0,1.0,0.0,2.145104259252548
accountant,auditing,0.0,2.045835066586733,2.045835066586733,0.0,3.0,0.0,2.0,0.0,0.6819450221955776
accountant,business,0.0,2.023998647928238,2.023998647928238,0.0,4.0,0.0,4.0,0.0,0.5059996619820595
accountant,accountants,4.286175966262817,4.627926766872406,0.3417508006095886,3.0,4.0,2.0,2.0,1.4287253220876055,1.1569816917181015
accountant,accountant,2.048669934272766,2.353111147880554,0.3044412136077881,2.0,2.0,2.0,2.0,1.024334967136383,1.176555573940277
accountant,finance,3.0692863017320633,2.809815764427185,-0.25947053730487823,6.0,8.0,6.0,6.0,0.5115477169553438,0.3512269705533981
accountant,accounts,3.840305268764496,2.7296833992004395,-1.1106218695640564,4.0,3.0,3.0,3.0,0.960076317191124,0.9098944664001464
accountant,tax,2.1261792480945587,0.0,-2.1261792480945587,4.0,0.0,4.0,0.0,0.5315448120236397,0.0
accountant,financial,9.49466836452484,7.34302031993866,-2.15164804458618,12.0,11.0,11.0,10.0,0.7912223637104034,0.6675473018126055
accountant,accountancy,2.3200569301843643,0.0,-2.3200569301843643,2.0,0.0,2.0,0.0,1.1600284650921822,0.0
accountant,families,2.545106887817383,0.0,-2.545106887817383,2.0,0.0,1.0,0.0,1.2725534439086914,0.0
accountant,while,2.7567553520202637,0.0,-2.7567553520202637,1.0,0.0,1.0,0.0,2.7567553520202637,0.0
architect,architecture,29.663169771432877,38.82368114590645,9.160511374473572,33.0,34.0,23.0,23.0,0.898883932467663,1.1418729748796017
architect,buildings,0.0,4.444378644227982,4.444378644227982,0.0,6.0,0.0,6.0,0.0,0.7407297740379969
