category,token,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked
titles,mrs,3,0.0,3,0.0,2.1068547628819942,0.0,-2.1068547628819942
all_gender_tokens,mrs,3,0.0,3,0.0,2.1068547628819942,0.0,-2.1068547628819942
gendered_nouns,sister,1,0.0,1,0.0,1.1263827085494995,0.0,-1.1263827085494995
all_gender_tokens,sister,1,0.0,1,0.0,1.1263827085494995,0.0,-1.1263827085494995
gendered_nouns,husband,3,0.0,3,0.0,0.972272664308548,0.0,-0.972272664308548
all_gender_tokens,husband,3,0.0,3,0.0,0.972272664308548,0.0,-0.972272664308548
gendered_nouns,wife,2,0.0,2,0.0,0.7765218019485474,0.0,-0.7765218019485474
all_gender_tokens,wife,2,0.0,2,0.0,0.7765218019485474,0.0,-0.7765218019485474
gendered_nouns,father,1,0.0,1,0.0,0.6461758017539978,0.0,-0.6461758017539978
all_gender_tokens,father,1,0.0,1,0.0,0.6461758017539978,0.0,-0.6461758017539978
gendered_nouns,mom,1,0.0,1,0.0,0.6409350261092186,0.0,-0.6409350261092186
all_gender_tokens,mom,1,0.0,1,0.0,0.6409350261092186,0.0,-0.6409350261092186
gendered_nouns,daughter,1,0.0,1,0.0,0.5532239824533463,0.0,-0.5532239824533463
all_gender_tokens,daughter,1,0.0,1,0.0,0.5532239824533463,0.0,-0.5532239824533463
gendered_nouns,mother,1,0.0,1,0.0,0.4193425178527832,0.0,-0.4193425178527832
all_gender_tokens,mother,1,0.0,1,0.0,0.4193425178527832,0.0,-0.4193425178527832
gendered_nouns,son,1,0.0,1,0.0,0.3195560127496719,0.0,-0.3195560127496719
all_gender_tokens,son,1,0.0,1,0.0,0.3195560127496719,0.0,-0.3195560127496719
