profession,abs_shift
professor,640.8429875215515
physician,432.9143350739032
photographer,250.0098579102196
dentist,135.12659692764277
attorney,133.93856356618926
nurse,123.89789345790632
composer,104.27971444185823
surgeon,101.8188761100173
teacher,86.39365667756647
painter,82.00611818116158
model,79.96320984140038
journalist,76.41187293909024
filmmaker,64.3028894495219
dietitian,61.130249567795545
psychologist,54.38280493288768
architect,52.8784942952916
software engineer,50.355411898344755
comedian,39.3157397354953
poet,37.8346191579476
accountant,33.46058698743582
