profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
professor,ph.d,170.4843709624838,91.7062583079096,-78.77811265457422,134.0,88.0,131.0,88.0,1.2722714250931628,1.0421165716807907
physician,affiliated,68.77941021323204,0.0,-68.77941021323204,83.0,0.0,83.0,0.0,0.8286675929305065,0.0
composer,short,25.484634399414062,0.0,-25.484634399414062,1.0,0.0,1.0,0.0,25.484634399414062,0.0
professor,phd,119.19547643139958,94.085329528898,-25.110146902501583,114.0,103.0,110.0,101.0,1.0455743546613998,0.9134498012514368
nurse,graduated,24.91387787461281,0.0,-24.91387787461281,39.0,0.0,39.0,0.0,0.6388173814003284,0.0
physician,credentials,23.876853108406067,0.0,-23.876853108406067,20.0,0.0,20.0,0.0,1.1938426554203034,0.0
dentist,practices,19.631493896245956,0.0,-19.631493896245956,26.0,0.0,26.0,0.0,0.7550574575479214,0.0
physician,practice,19.615896377712488,0.0,-19.615896377712488,24.0,0.0,24.0,0.0,0.8173290157380203,0.0
attorney,legal,49.4701888859272,31.692320108413696,-17.777868777513504,48.0,31.0,43.0,30.0,1.0306289351234834,1.0223329067230225
dietitian,dietitian,27.808430656790733,14.472361888736486,-13.336068768054249,9.0,7.0,9.0,7.0,3.089825628532304,2.067480269819498
