profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
professor,university,105.02908086590467,302.8462135293521,197.8171326634474,185.0,426.0,168.0,339.0,0.5677247614373226,0.7109066045289956
professor,research,333.32252935506403,514.1976702108514,180.87514085578732,428.0,514.0,391.0,452.0,0.7787909564370655,1.0003845723946525
physician,medicine,166.64024782273918,292.246107744053,125.60585992131382,220.0,243.0,179.0,192.0,0.7574556719215417,1.2026588796051565
photographer,photography,126.00217498838902,239.55877978447825,113.55660479608925,129.0,134.0,87.0,91.0,0.9767610464216204,1.7877520879438675
professor,interests,48.41974002122879,95.44214829802512,47.02240827679633,80.0,131.0,80.0,129.0,0.6052467502653599,0.7285660175421765
physician,practices,179.33597391843796,224.6419777274132,45.30600380897525,124.0,118.0,124.0,118.0,1.4462578541809512,1.9037455739611289
surgeon,surgery,51.06147736962885,95.6456204354763,44.58414306584746,67.0,97.0,48.0,55.0,0.7621116025317738,0.9860373240770752
attorney,law,143.60995877999812,182.20534202596173,38.5953832459636,157.0,185.0,109.0,120.0,0.9147131132483955,0.9848937406808742
physician,specializes,0.0,38.29020327329635,38.29020327329635,0.0,56.0,0.0,56.0,0.0,0.6837536298802921
professor,teaching,40.56601506960578,77.84561081416905,37.27959574456327,61.0,92.0,58.0,86.0,0.6650166404853407,0.8461479436322723
