token,count_topk_unmasked,doc_freq_unmasked,weighted_score_unmasked,mean_attr_unmasked,count_topk_masked,doc_freq_masked,weighted_score_masked,mean_attr_masked,category,weighted_score_diff_masked_minus_unmasked
mrs,3,3,2.1068547628819942,0.7022849209606647,0.0,0.0,0.0,0.0,titles,-2.1068547628819942
sister,1,1,1.1263827085494995,1.1263827085494995,0.0,0.0,0.0,0.0,gendered_nouns,-1.1263827085494995
husband,3,3,0.972272664308548,0.31462225317955017,0.0,0.0,0.0,0.0,gendered_nouns,-0.972272664308548
wife,2,2,0.7765218019485474,0.3882609009742737,0.0,0.0,0.0,0.0,gendered_nouns,-0.7765218019485474
father,1,1,0.6461758017539978,0.6461758017539978,0.0,0.0,0.0,0.0,gendered_nouns,-0.6461758017539978
mom,1,1,0.6409350261092186,0.6409350261092186,0.0,0.0,0.0,0.0,gendered_nouns,-0.6409350261092186
daughter,1,1,0.5532239824533463,0.5532239824533463,0.0,0.0,0.0,0.0,gendered_nouns,-0.5532239824533463
mother,1,1,0.4193425178527832,0.4193425178527832,0.0,0.0,0.0,0.0,gendered_nouns,-0.4193425178527832
son,1,1,0.3195560127496719,0.3195560127496719,0.0,0.0,0.0,0.0,gendered_nouns,-0.3195560127496719
mrs,3,3,2.1068547628819942,0.7022849209606647,0.0,0.0,0.0,0.0,all_gender_tokens,-2.1068547628819942
sister,1,1,1.1263827085494995,1.1263827085494995,0.0,0.0,0.0,0.0,all_gender_tokens,-1.1263827085494995
husband,3,3,0.972272664308548,0.31462225317955017,0.0,0.0,0.0,0.0,all_gender_tokens,-0.972272664308548
wife,2,2,0.7765218019485474,0.3882609009742737,0.0,0.0,0.0,0.0,all_gender_tokens,-0.7765218019485474
father,1,1,0.6461758017539978,0.6461758017539978,0.0,0.0,0.0,0.0,all_gender_tokens,-0.6461758017539978
mom,1,1,0.6409350261092186,0.6409350261092186,0.0,0.0,0.0,0.0,all_gender_tokens,-0.6409350261092186
daughter,1,1,0.5532239824533463,0.5532239824533463,0.0,0.0,0.0,0.0,all_gender_tokens,-0.5532239824533463
mother,1,1,0.4193425178527832,0.4193425178527832,0.0,0.0,0.0,0.0,all_gender_tokens,-0.4193425178527832
son,1,1,0.3195560127496719,0.3195560127496719,0.0,0.0,0.0,0.0,all_gender_tokens,-0.3195560127496719
