profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
accountant,accounting,21.220109175890684,30.742415418848395,9.522306242957711,20.0,20.0,16.0,15.0,1.061005458794534,1.5371207709424195
accountant,finance,3.954733218997717,10.212283972650766,6.2575507536530495,6.0,12.0,4.0,9.0,0.6591222031662861,0.8510236643875638
accountant,accountant,0.0,3.92305801063776,3.92305801063776,0.0,3.0,0.0,3.0,0.0,1.30768600354592
accountant,financial,6.667523443698883,10.48402625322342,3.816502809524536,8.0,11.0,7.0,10.0,0.8334404304623604,0.9530932957475836
accountant,business,5.277735561132431,7.391454547643661,2.1137189865112296,10.0,11.0,8.0,10.0,0.5277735561132431,0.671950413422151
accountant,cfo,4.584706217050552,6.214061349630356,1.6293551325798035,4.0,4.0,3.0,3.0,1.146176554262638,1.553515337407589
accountant,accountancy,3.54384446144104,4.66520182043314,1.1213573589920998,2.0,2.0,2.0,2.0,1.77192223072052,2.33260091021657
accountant,accounts,4.17744904756546,5.230268955230713,1.0528199076652527,3.0,4.0,3.0,4.0,1.392483015855153,1.3075672388076782
accountant,accountants,5.293618472293019,5.890615552663803,0.5969970803707838,4.0,4.0,2.0,2.0,1.3234046180732548,1.4726538881659508
accountant,tax,5.136291325092316,4.5668127834796906,-0.5694785416126251,5.0,5.0,4.0,4.0,1.0272582650184632,0.913362556695938
accountant,firm,2.8574421629309654,0.0,-2.8574421629309654,2.0,0.0,2.0,0.0,1.4287210814654827,0.0
architect,architecture,38.861302979290485,57.11682784836739,18.255524869076908,33.0,42.0,22.0,24.0,1.1776152417966814,1.359924472580176
architect,design,17.706027671694756,24.123478170484304,6.417450498789549,26.0,24.0,22.0,18.0,0.6810010642959521,1.0051449237701793
architect,architectural,24.57008318975568,29.92631346359849,5.356230273842808,23.0,22.0,20.0,20.0,1.0682644865111164,1.360286975618113
architect,designing,2.9932892620563507,7.082265675067902,4.088976413011551,3.0,3.0,3.0,3.0,0.9977630873521168,2.360755225022634
architect,construction,3.6309425234794617,7.474130839109421,3.843188315629959,5.0,8.0,4.0,7.0,0.7261885046958924,0.9342663548886776
architect,building,5.195765733718872,8.774398684501648,3.578632950782776,7.0,10.0,5.0,7.0,0.7422522476741246,0.8774398684501648
architect,java,0.0,3.5645446181297302,3.5645446181297302,0.0,3.0,0.0,3.0,0.0,1.188181539376577
architect,architect,10.568459890782831,12.501741843298078,1.9332819525152463,9.0,11.0,8.0,10.0,1.1742733211980925,1.1365219857543707
architect,architects,10.402596071362495,12.209217220544817,1.8066211491823214,9.0,9.0,8.0,8.0,1.155844007929166,1.356579691171646
architect,techniques,5.305508255958557,3.931241868063807,-1.37426638789475,3.0,5.0,2.0,4.0,1.7685027519861858,0.7862483736127615
architect,designed,2.6597768664360046,0.0,-2.6597768664360046,4.0,0.0,4.0,0.0,0.6649442166090012,0.0
