id,profession,profession_stored,gender,swap_direction,n_tokens_swapped,pred_label_stored,pred_label_original_fresh,stored_fresh_agree,pred_label_swapped,pred_flipped,pred_prob_original_class_original,pred_prob_original_class_after_swap,pred_prob_swapped_top,prob_drop
12781,nurse,nurse,F,F→M,9,nurse,nurse,True,nurse,False,0.9995,0.9994,0.9994,0.00010000000000010001
34470,photographer,photographer,M,M→F,4,photographer,photographer,True,photographer,False,0.9979,0.9978,0.9978,9.999999999998899e-05
9342,professor,professor,M,M→F,7,professor,professor,True,professor,False,0.9981,0.9982,0.9982,-9.999999999998899e-05
30362,professor,professor,M,M→F,3,professor,professor,True,professor,False,0.9675,0.9822,0.9822,-0.014699999999999935
90967,professor,professor,M,M→F,5,professor,professor,True,professor,False,0.9998,0.9998,0.9998,0.0
13344,software engineer,software engineer,M,M→F,2,software engineer,software engineer,True,teacher,True,0.2537,0.1092,0.1305,0.14449999999999996
6239,journalist,journalist,M,M→F,2,journalist,journalist,True,journalist,False,0.9991,0.9991,0.9991,0.0
42028,attorney,attorney,F,F→M,2,attorney,attorney,True,attorney,False,0.3579,0.6059,0.6059,-0.248
90212,architect,architect,F,F→M,1,architect,architect,True,architect,False,0.995,0.9967,0.9967,-0.0017000000000000348
43953,teacher,teacher,F,F→M,4,teacher,teacher,True,teacher,False,0.9953,0.9961,0.9961,-0.0008000000000000229
27966,professor,professor,F,F→M,4,professor,professor,True,professor,False,0.9992,0.999,0.999,0.00019999999999997797
41556,teacher,teacher,M,M→F,2,teacher,teacher,True,teacher,False,0.8154,0.9226,0.9226,-0.10719999999999996
43148,professor,professor,M,M→F,7,professor,professor,True,professor,False,0.9993,0.9994,0.9994,-9.999999999998899e-05
93200,professor,professor,F,F→M,3,professor,professor,True,professor,False,0.9989,0.9989,0.9989,0.0
46307,physician,physician,F,F→M,9,physician,physician,True,physician,False,0.9991,0.9992,0.9992,-9.999999999998899e-05
61841,teacher,teacher,F,F→M,2,teacher,teacher,True,teacher,False,0.9921,0.9782,0.9782,0.013900000000000023
23333,teacher,teacher,F,F→M,4,teacher,teacher,True,teacher,False,0.9987,0.9987,0.9987,0.0
15551,attorney,attorney,F,F→M,6,attorney,attorney,True,attorney,False,0.9997,0.9997,0.9997,0.0
90631,journalist,journalist,F,F→M,1,journalist,journalist,True,journalist,False,0.9985,0.9986,0.9986,-9.999999999998899e-05
54445,professor,professor,F,F→M,3,professor,professor,True,professor,False,0.9952,0.9939,0.9939,0.0012999999999999678
93903,professor,professor,M,M→F,3,professor,professor,True,professor,False,0.6041,0.6685,0.6685,-0.06440000000000001
16348,physician,physician,F,F→M,2,physician,physician,True,physician,False,0.9998,0.9998,0.9998,0.0
46287,professor,professor,F,F→M,4,professor,professor,True,professor,False,0.9348,0.9546,0.9546,-0.01980000000000004
72503,physician,physician,M,M→F,5,physician,physician,True,physician,False,0.9784,0.9869,0.9869,-0.008499999999999952
4602,physician,physician,F,F→M,3,physician,physician,True,physician,False,0.9998,0.9998,0.9998,0.0
49360,psychologist,psychologist,M,M→F,2,psychologist,psychologist,True,psychologist,False,0.6437,0.6812,0.6812,-0.03749999999999998
42951,professor,professor,M,M→F,2,professor,professor,True,professor,False,0.6381,0.7679,0.7679,-0.12980000000000003
77124,professor,professor,M,M→F,3,professor,professor,True,professor,False,0.9998,0.9998,0.9998,0.0
39711,dentist,dentist,M,M→F,3,dentist,dentist,True,dentist,False,0.9954,0.996,0.996,-0.0006000000000000449
30282,teacher,teacher,M,M→F,2,teacher,teacher,True,teacher,False,0.6806,0.7554,0.7554,-0.07479999999999998
33409,professor,professor,M,M→F,1,professor,professor,True,professor,False,0.9328,0.9447,0.9447,-0.011900000000000022
36561,model,model,M,M→F,3,model,model,True,model,False,0.9989,0.9992,0.9992,-0.00029999999999996696
10637,professor,professor,M,M→F,2,professor,professor,True,professor,False,0.9277,0.9503,0.9503,-0.022600000000000064
24817,journalist,journalist,F,F→M,5,journalist,journalist,True,attorney,True,0.4682,0.3233,0.5147,0.14490000000000003
31505,software engineer,software engineer,M,M→F,2,software engineer,software engineer,True,software engineer,False,0.9736,0.9791,0.9791,-0.005499999999999949
58312,journalist,journalist,F,F→M,9,journalist,journalist,True,journalist,False,0.999,0.9989,0.9989,9.999999999998899e-05
42143,psychologist,psychologist,M,M→F,1,psychologist,psychologist,True,psychologist,False,0.9991,0.9991,0.9991,0.0
4145,attorney,attorney,F,F→M,2,attorney,attorney,True,attorney,False,0.9975,0.9976,0.9976,-9.999999999998899e-05
64458,filmmaker,filmmaker,M,M→F,3,filmmaker,filmmaker,True,filmmaker,False,0.7374,0.7283,0.7283,0.009100000000000108
74377,psychologist,psychologist,M,M→F,4,psychologist,psychologist,True,psychologist,False,0.5701,0.7424,0.7424,-0.1722999999999999
20281,professor,professor,M,M→F,7,professor,professor,True,professor,False,0.9952,0.9921,0.9921,0.0030999999999999917
55020,photographer,photographer,M,M→F,4,photographer,photographer,True,photographer,False,0.9821,0.9164,0.9164,0.06569999999999998
74809,psychologist,psychologist,F,F→M,1,psychologist,psychologist,True,psychologist,False,0.9448,0.9242,0.9242,0.02059999999999995
27933,professor,professor,M,M→F,4,professor,professor,True,professor,False,0.9994,0.9993,0.9993,9.999999999998899e-05
11662,professor,professor,F,F→M,2,professor,professor,True,professor,False,0.9998,0.9998,0.9998,0.0
83094,professor,professor,M,M→F,2,professor,professor,True,professor,False,0.9963,0.9955,0.9955,0.0007999999999999119
42156,physician,physician,M,M→F,4,physician,physician,True,physician,False,0.9605,0.9817,0.9817,-0.021199999999999997
79286,nurse,nurse,F,F→M,5,nurse,nurse,True,nurse,False,0.9862,0.9695,0.9695,0.016699999999999937
43044,photographer,photographer,F,F→M,7,photographer,photographer,True,photographer,False,0.9954,0.9967,0.9967,-0.0013000000000000789
79135,professor,professor,F,F→M,3,professor,professor,True,professor,False,0.9992,0.9991,0.9991,9.999999999998899e-05
17636,professor,professor,M,M→F,4,professor,professor,True,professor,False,0.9992,0.9994,0.9994,-0.00019999999999997797
54221,poet,poet,M,M→F,3,poet,poet,True,poet,False,0.9858,0.9815,0.9815,0.0042999999999999705
73575,photographer,photographer,M,M→F,3,photographer,photographer,True,photographer,False,0.9903,0.9901,0.9901,0.00019999999999997797
13578,journalist,journalist,M,M→F,1,journalist,journalist,True,journalist,False,0.9814,0.986,0.986,-0.0045999999999999375
5448,professor,professor,F,F→M,1,professor,professor,True,professor,False,0.9982,0.9986,0.9986,-0.00040000000000006697
80601,architect,architect,M,M→F,3,architect,architect,True,architect,False,0.993,0.99,0.99,0.0030000000000000027
43877,nurse,nurse,F,F→M,1,nurse,nurse,True,nurse,False,0.9952,0.9879,0.9879,0.007299999999999973
44557,professor,professor,M,M→F,5,professor,professor,True,professor,False,0.9998,0.9998,0.9998,0.0
61558,software engineer,software engineer,M,M→F,2,software engineer,software engineer,True,software engineer,False,0.5362,0.5493,0.5493,-0.0131
12480,professor,professor,M,M→F,3,professor,professor,True,professor,False,0.9887,0.9937,0.9937,-0.0050000000000000044
37372,dentist,dentist,F,F→M,2,dentist,dentist,True,dentist,False,0.9948,0.9938,0.9938,0.0010000000000000009
48225,professor,professor,F,F→M,4,professor,professor,True,professor,False,0.7596,0.4832,0.4832,0.27640000000000003
35423,composer,composer,F,F→M,1,composer,composer,True,composer,False,0.9807,0.9815,0.9815,-0.0008000000000000229
4598,teacher,teacher,M,M→F,1,teacher,teacher,True,teacher,False,0.999,0.9989,0.9989,9.999999999998899e-05
76006,journalist,journalist,F,F→M,3,journalist,journalist,True,journalist,False,0.9913,0.9854,0.9854,0.005899999999999905
52486,physician,physician,F,F→M,2,physician,physician,True,physician,False,0.9996,0.9996,0.9996,0.0
702,professor,professor,M,M→F,4,professor,professor,True,professor,False,0.988,0.9955,0.9955,-0.007500000000000062
71994,journalist,journalist,F,F→M,1,journalist,journalist,True,journalist,False,0.9986,0.9984,0.9984,0.000200000000000089
29015,attorney,attorney,F,F→M,1,attorney,attorney,True,attorney,False,0.9996,0.9995,0.9995,9.999999999998899e-05
93020,professor,professor,M,M→F,5,professor,professor,True,professor,False,0.9998,0.9998,0.9998,0.0
24289,professor,professor,F,F→M,6,professor,professor,True,professor,False,0.9995,0.9995,0.9995,0.0
85541,professor,professor,F,F→M,2,professor,professor,True,professor,False,0.9991,0.9991,0.9991,0.0
42719,professor,professor,M,M→F,3,professor,professor,True,professor,False,0.999,0.9989,0.9989,9.999999999998899e-05
50174,architect,architect,F,F→M,4,architect,architect,True,architect,False,0.9984,0.9983,0.9983,9.999999999998899e-05
14729,psychologist,psychologist,M,M→F,2,psychologist,psychologist,True,psychologist,False,0.9942,0.9934,0.9934,0.0008000000000000229
84291,physician,physician,M,M→F,2,physician,physician,True,physician,False,0.9682,0.9607,0.9607,0.007499999999999951
11815,journalist,journalist,F,F→M,2,journalist,journalist,True,journalist,False,0.9941,0.9828,0.9828,0.011299999999999977
65795,professor,professor,F,F→M,5,professor,professor,True,professor,False,0.9996,0.9996,0.9996,0.0
70364,professor,professor,F,F→M,3,professor,professor,True,professor,False,0.9938,0.9907,0.9907,0.0030999999999999917
22347,journalist,journalist,F,F→M,1,journalist,journalist,True,journalist,False,0.9985,0.9976,0.9976,0.0009000000000000119
39122,professor,professor,F,F→M,1,professor,professor,True,professor,False,0.994,0.9864,0.9864,0.00759999999999994
31046,model,model,F,F→M,4,model,model,True,model,False,0.9994,0.9993,0.9993,9.999999999998899e-05
33201,professor,professor,F,F→M,4,professor,professor,True,professor,False,0.9995,0.9995,0.9995,0.0
34406,physician,physician,M,M→F,4,physician,physician,True,physician,False,0.8986,0.9446,0.9446,-0.04600000000000004
74946,professor,professor,M,M→F,1,professor,professor,True,professor,False,0.806,0.8354,0.8354,-0.02939999999999998
84715,architect,architect,F,F→M,6,architect,architect,True,architect,False,0.9958,0.9953,0.9953,0.000500000000000056
11351,painter,painter,M,M→F,3,painter,painter,True,painter,False,0.7605,0.8458,0.8458,-0.08530000000000004
436,physician,physician,M,M→F,4,physician,physician,True,physician,False,0.9944,0.998,0.998,-0.0036000000000000476
6302,physician,physician,M,M→F,1,physician,physician,True,nurse,True,0.5809,0.1286,0.8472,0.4523
72269,physician,physician,M,M→F,6,physician,physician,True,physician,False,0.877,0.676,0.676,0.20099999999999996
24338,journalist,journalist,F,F→M,1,journalist,journalist,True,journalist,False,0.9978,0.9965,0.9965,0.0012999999999999678
55848,dentist,dentist,M,M→F,1,dentist,dentist,True,dentist,False,0.9888,0.992,0.992,-0.0031999999999999806
79663,journalist,journalist,F,F→M,2,journalist,journalist,True,journalist,False,0.9318,0.6255,0.6255,0.3063
50546,nurse,nurse,F,F→M,5,nurse,nurse,True,nurse,False,0.9993,0.9889,0.9889,0.010399999999999965
19540,physician,physician,M,M→F,3,physician,physician,True,physician,False,0.8914,0.9473,0.9473,-0.05590000000000006
30143,professor,professor,M,M→F,4,professor,professor,True,professor,False,0.9983,0.9983,0.9983,0.0
88326,professor,professor,F,F→M,2,professor,professor,True,professor,False,0.9621,0.9536,0.9536,0.008499999999999952
42175,professor,professor,F,F→M,3,professor,professor,True,professor,False,0.9995,0.9996,0.9996,-9.999999999998899e-05
16410,nurse,nurse,F,F→M,1,nurse,nurse,True,nurse,False,0.9997,0.9997,0.9997,0.0
16813,accountant,accountant,F,F→M,1,accountant,accountant,True,accountant,False,0.9972,0.9974,0.9974,-0.00019999999999997797
2321,architect,architect,F,F→M,1,architect,architect,True,architect,False,0.9805,0.9854,0.9854,-0.0049000000000000155
61142,physician,physician,F,F→M,3,physician,physician,True,physician,False,0.9814,0.9577,0.9577,0.023700000000000054
52916,attorney,attorney,M,M→F,5,attorney,attorney,True,attorney,False,0.9988,0.9988,0.9988,0.0
53976,professor,professor,M,M→F,1,professor,professor,True,professor,False,0.999,0.9988,0.9988,0.00019999999999997797
51899,photographer,photographer,F,F→M,6,photographer,photographer,True,photographer,False,0.9976,0.9981,0.9981,-0.0004999999999999449
47145,surgeon,surgeon,M,M→F,1,surgeon,surgeon,True,professor,True,0.6649,0.4784,0.5049,0.18650000000000005
94259,professor,professor,M,M→F,5,professor,professor,True,professor,False,0.9997,0.9996,0.9996,9.999999999998899e-05
46960,journalist,journalist,M,M→F,3,journalist,journalist,True,journalist,False,0.9991,0.9992,0.9992,-9.999999999998899e-05
93000,attorney,attorney,M,M→F,1,attorney,attorney,True,attorney,False,0.9986,0.9987,0.9987,-9.999999999998899e-05
46505,professor,professor,M,M→F,4,professor,professor,True,professor,False,0.9989,0.9992,0.9992,-0.00029999999999996696
68349,physician,physician,F,F→M,4,physician,physician,True,physician,False,0.9641,0.9431,0.9431,0.020999999999999908
42600,physician,physician,F,F→M,2,physician,physician,True,physician,False,0.9998,0.9998,0.9998,0.0
30588,professor,professor,F,F→M,5,professor,professor,True,professor,False,0.9973,0.9978,0.9978,-0.000500000000000056
40257,professor,professor,F,F→M,4,professor,professor,True,professor,False,0.9993,0.9993,0.9993,0.0
66822,accountant,accountant,M,M→F,2,accountant,accountant,True,accountant,False,0.9984,0.9983,0.9983,9.999999999998899e-05
41479,physician,physician,M,M→F,2,physician,physician,True,physician,False,0.9996,0.9995,0.9995,9.999999999998899e-05
22425,accountant,accountant,M,M→F,1,accountant,accountant,True,accountant,False,0.9982,0.9982,0.9982,0.0
11945,attorney,attorney,M,M→F,2,attorney,attorney,True,attorney,False,0.6699,0.5443,0.5443,0.12560000000000004
89703,attorney,attorney,F,F→M,4,attorney,attorney,True,attorney,False,0.9996,0.9996,0.9996,0.0
85218,filmmaker,filmmaker,M,M→F,2,filmmaker,filmmaker,True,filmmaker,False,0.9926,0.9931,0.9931,-0.0004999999999999449
51511,composer,composer,M,M→F,2,composer,composer,True,composer,False,0.9969,0.9968,0.9968,9.999999999998899e-05
47791,software engineer,software engineer,M,M→F,1,software engineer,software engineer,True,software engineer,False,0.8907,0.9096,0.9096,-0.018899999999999917
45238,attorney,attorney,M,M→F,1,attorney,attorney,True,attorney,False,0.9997,0.9997,0.9997,0.0
