profession,n,flip_rate,mean_n_swapped,mean_prob_original_class_after_swap,mean_prob_drop
nurse,147,0.1633,2.5238,0.8363,0.0883
surgeon,98,0.1327,2.5306,0.8434,0.0683
comedian,27,0.1111,3.9259,0.8014,0.0778
architect,62,0.0806,2.9194,0.8718,0.0262
poet,56,0.0714,3.8036,0.8403,0.0009
software engineer,60,0.0667,2.95,0.8653,0.0016
dietitian,30,0.0667,1.9,0.8772,0.0653
teacher,129,0.062,3.6357,0.8364,0.0119
physician,328,0.0457,2.9787,0.9251,-0.0012
psychologist,134,0.0373,2.7985,0.9102,0.0024
model,55,0.0364,4.0364,0.898,0.0345
journalist,154,0.0325,2.9156,0.884,0.0054
accountant,40,0.025,2.75,0.9236,0.0003
painter,59,0.0169,3.4746,0.9107,0.004
attorney,266,0.015,3.0188,0.9501,-0.0007
photographer,197,0.0102,3.3452,0.9518,-0.0051
professor,924,0.0054,3.0866,0.9632,-0.0013
filmmaker,46,0.0,3.0435,0.9313,0.0072
dentist,116,0.0,2.1207,0.9691,-0.0022
composer,43,0.0,2.6977,0.985,0.0002
