profession,gender,n,flip_rate,mean_n_swapped,mean_prob_original_class_after_swap,mean_prob_drop
accountant,F,9,0.1111,2.5556,0.9368,-0.0009
accountant,M,31,0.0,2.8065,0.9198,0.0006
architect,F,17,0.0,3.4118,0.9308,-0.0162
architect,M,45,0.1111,2.7333,0.8496,0.0422
attorney,F,108,0.0093,3.0926,0.9597,-0.0167
attorney,M,158,0.019,2.9684,0.9434,0.0103
comedian,F,5,0.0,5.0,0.9125,-0.0505
comedian,M,22,0.1364,3.6818,0.7761,0.1069
composer,F,8,0.0,2.75,0.9902,-0.017
composer,M,35,0.0,2.6857,0.9838,0.0041
dentist,F,31,0.0,1.7419,0.9601,0.0069
dentist,M,85,0.0,2.2588,0.9724,-0.0055
dietitian,F,27,0.0741,1.7407,0.8888,0.0799
dietitian,M,3,0.0,3.3333,0.7731,-0.0655
filmmaker,F,17,0.0,3.1176,0.9803,-0.0124
filmmaker,M,29,0.0,3.0,0.9026,0.0187
journalist,F,80,0.05,2.9,0.8752,0.0279
journalist,M,74,0.0135,2.9324,0.8937,-0.0189
model,F,46,0.0435,4.1087,0.8881,0.0469
model,M,9,0.0,3.6667,0.9485,-0.0292
nurse,F,132,0.1818,2.6439,0.82,0.1004
nurse,M,15,0.0,1.4667,0.9795,-0.0187
painter,F,31,0.0323,3.5484,0.9029,0.0157
painter,M,28,0.0,3.3929,0.9193,-0.009
photographer,F,76,0.0,3.5658,0.9473,-0.0281
photographer,M,121,0.0165,3.2066,0.9546,0.0093
physician,F,171,0.0175,2.9883,0.9538,-0.0144
physician,M,157,0.0764,2.9682,0.8938,0.0132
poet,F,29,0.0345,3.7241,0.8816,-0.0246
poet,M,27,0.1111,3.8889,0.7959,0.0284
professor,F,411,0.0122,3.056,0.9546,0.0048
professor,M,513,0.0,3.1111,0.9701,-0.0062
psychologist,F,79,0.0633,2.8734,0.9065,0.0095
psychologist,M,55,0.0,2.6909,0.9154,-0.0077
software engineer,F,7,0.0,3.1429,0.9122,0.0065
software engineer,M,53,0.0755,2.9245,0.8591,0.001
surgeon,F,14,0.0,2.3571,0.954,-0.0211
surgeon,M,84,0.1548,2.5595,0.825,0.0832
teacher,F,75,0.0667,4.0,0.8535,0.0234
teacher,M,54,0.0556,3.1296,0.8127,-0.004
