id,profession,profession_stored,gender,swap_direction,n_tokens_swapped,pred_label_stored,pred_label_original_fresh,stored_fresh_agree,pred_label_swapped,pred_flipped,pred_prob_original_class_original,pred_prob_original_class_after_swap,pred_prob_swapped_top,prob_drop
12781,nurse,nurse,F,F→M,9,nurse,nurse,True,nurse,False,0.9993,0.9993,0.9993,0.0
34470,photographer,photographer,M,M→F,4,photographer,photographer,True,photographer,False,0.9965,0.9972,0.9972,-0.0006999999999999229
9342,professor,professor,M,M→F,7,professor,professor,True,professor,False,0.998,0.9979,0.9979,9.999999999998899e-05
30362,professor,professor,M,M→F,3,professor,professor,True,professor,False,0.9963,0.9981,0.9981,-0.0018000000000000238
90967,professor,professor,M,M→F,5,professor,professor,True,professor,False,0.9996,0.9996,0.9996,0.0
13344,teacher,teacher,M,M→F,2,teacher,teacher,True,teacher,False,0.2564,0.4403,0.4403,-0.1839
6239,journalist,journalist,M,M→F,2,journalist,journalist,True,journalist,False,0.9975,0.9977,0.9977,-0.00019999999999997797
42028,dietitian,dietitian,F,F→M,2,dietitian,dietitian,True,attorney,True,0.3249,0.0422,0.2774,0.2827
90212,architect,architect,F,F→M,1,architect,architect,True,architect,False,0.9971,0.9968,0.9968,0.00029999999999996696
43953,teacher,teacher,F,F→M,4,teacher,teacher,True,teacher,False,0.9969,0.9964,0.9964,0.000500000000000056
27966,professor,professor,F,F→M,4,professor,professor,True,professor,False,0.9987,0.9986,0.9986,9.999999999998899e-05
41556,photographer,photographer,M,M→F,2,photographer,photographer,True,teacher,True,0.2887,0.1065,0.4272,0.18220000000000003
43148,professor,professor,M,M→F,7,professor,professor,True,professor,False,0.9988,0.9989,0.9989,-9.999999999998899e-05
93200,professor,professor,F,F→M,3,professor,professor,True,professor,False,0.9984,0.9984,0.9984,0.0
46307,physician,physician,F,F→M,9,physician,physician,True,physician,False,0.9989,0.9989,0.9989,0.0
61841,teacher,teacher,F,F→M,2,teacher,teacher,True,teacher,False,0.9896,0.9694,0.9694,0.020199999999999996
23333,teacher,teacher,F,F→M,4,teacher,teacher,True,teacher,False,0.9964,0.9964,0.9964,0.0
15551,attorney,attorney,F,F→M,6,attorney,attorney,True,attorney,False,0.9994,0.9993,0.9993,9.999999999998899e-05
90631,journalist,journalist,F,F→M,1,journalist,journalist,True,journalist,False,0.9972,0.9971,0.9971,9.999999999998899e-05
54445,professor,professor,F,F→M,3,professor,professor,True,professor,False,0.9972,0.9971,0.9971,9.999999999998899e-05
93903,professor,professor,M,M→F,3,professor,professor,True,professor,False,0.7177,0.8197,0.8197,-0.10199999999999998
16348,physician,physician,F,F→M,2,physician,physician,True,physician,False,0.9994,0.9994,0.9994,0.0
46287,professor,professor,F,F→M,4,professor,professor,True,professor,False,0.9535,0.9573,0.9573,-0.0038000000000000256
72503,physician,physician,M,M→F,5,physician,physician,True,physician,False,0.9947,0.9982,0.9982,-0.0034999999999999476
