profession,n,flip_rate,mean_n_swapped,mean_prob_original_class_after_swap,mean_prob_drop
comedian,25,0.16,4.24,0.8053,0.0743
nurse,145,0.131,2.5379,0.8621,0.0712
surgeon,100,0.13,2.55,0.827,0.0778
teacher,129,0.0853,3.6434,0.8246,0.007
architect,68,0.0735,2.8088,0.84,0.0462
model,51,0.0588,3.902,0.9181,0.0511
filmmaker,54,0.0556,3.0185,0.9139,0.0248
photographer,198,0.0556,3.3687,0.9252,0.0114
journalist,151,0.053,2.9868,0.8824,0.0072
software engineer,57,0.0351,3.0175,0.8629,0.0017
physician,328,0.0335,2.9451,0.9287,-0.0073
dietitian,30,0.0333,2.0,0.9233,0.036
accountant,40,0.025,2.85,0.9048,0.0153
attorney,260,0.0231,3.0423,0.9555,0.0037
poet,55,0.0182,3.7091,0.8883,-0.0134
painter,57,0.0175,3.4737,0.9213,0.0054
psychologist,129,0.0155,2.6589,0.909,0.0081
professor,937,0.0149,3.0939,0.9606,0.0005
composer,42,0.0,2.7143,0.973,0.0023
dentist,115,0.0,2.1304,0.97,0.0014
