profession,gender,n,flip_rate,mean_n_swapped,mean_prob_original_class_after_swap,mean_prob_drop
accountant,F,11,0.0,3.0,0.8872,0.0133
accountant,M,29,0.0345,2.7931,0.9115,0.016
architect,F,17,0.0,3.5294,0.9702,-0.0072
architect,M,51,0.098,2.5686,0.7966,0.064
attorney,F,106,0.0189,3.1321,0.9686,-0.0099
attorney,M,154,0.026,2.9805,0.9464,0.0131
comedian,F,4,0.0,5.75,0.9695,-0.0295
comedian,M,21,0.1905,3.9524,0.774,0.0941
composer,F,9,0.0,2.6667,0.9619,-0.0058
composer,M,33,0.0,2.7273,0.9761,0.0045
dentist,F,31,0.0,1.7419,0.9566,0.0104
dentist,M,84,0.0,2.2738,0.9749,-0.002
dietitian,F,28,0.0357,1.8571,0.9185,0.0391
dietitian,M,2,0.0,4.0,0.9894,-0.0071
filmmaker,F,19,0.0,3.0,0.978,-0.0023
filmmaker,M,35,0.0857,3.0286,0.8791,0.0395
journalist,F,84,0.0833,2.9048,0.8589,0.0482
journalist,M,67,0.0149,3.0896,0.9119,-0.0443
model,F,41,0.0732,4.0,0.909,0.0791
model,M,10,0.0,3.5,0.9554,-0.0637
nurse,F,130,0.1462,2.6538,0.8477,0.0819
nurse,M,15,0.0,1.5333,0.9877,-0.0216
painter,F,28,0.0357,3.4286,0.8791,0.0353
painter,M,29,0.0,3.5172,0.9621,-0.0235
photographer,F,72,0.0278,3.7639,0.9455,-0.0169
photographer,M,126,0.0714,3.1429,0.9136,0.0275
physician,F,174,0.0115,2.9253,0.9575,-0.0262
physician,M,154,0.0584,2.9675,0.8961,0.0141
poet,F,28,0.0,3.6429,0.9014,-0.0142
poet,M,27,0.037,3.7778,0.8747,-0.0127
professor,F,409,0.0196,3.0709,0.9534,0.0084
professor,M,528,0.0114,3.1117,0.9662,-0.0055
psychologist,F,77,0.013,2.7403,0.9202,0.0075
psychologist,M,52,0.0192,2.5385,0.8925,0.0091
software engineer,F,7,0.0,3.1429,0.8941,0.0195
software engineer,M,50,0.04,3.0,0.8585,-0.0008
surgeon,F,14,0.0,2.5714,0.9548,-0.0381
surgeon,M,86,0.1512,2.5465,0.8062,0.0967
teacher,F,84,0.119,3.9643,0.8074,0.0294
teacher,M,45,0.0222,3.0444,0.8568,-0.0347
