profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
dietitian,0.7428,0.9154,0.9162,0.1734,32
nurse,0.5184,0.5834,0.904,0.3856,148
photographer,0.4685,0.4688,0.9379,0.4695,200
composer,0.4668,0.4777,0.9723,0.5055,44
architect,0.4327,0.4502,0.8775,0.4448,61
accountant,0.4216,0.3244,0.8928,0.4712,39
painter,0.4182,0.4642,0.884,0.4658,56
surgeon,0.4112,0.3712,0.8855,0.4742,101
dentist,0.3903,0.1372,0.9469,0.5566,114
psychologist,0.3778,0.2718,0.8683,0.4905,116
poet,0.3683,0.2504,0.8867,0.5184,54
filmmaker,0.3679,0.2872,0.9101,0.5423,51
teacher,0.3421,0.268,0.8007,0.4585,123
comedian,0.2965,0.0539,0.8934,0.5969,24
journalist,0.2748,0.1881,0.8216,0.5468,151
attorney,0.2212,0.0152,0.922,0.7008,276
professor,0.2136,0.0337,0.9469,0.7333,966
software engineer,0.2044,0.0928,0.8348,0.6304,64
physician,0.191,0.0638,0.9018,0.7108,323
model,0.1526,0.0146,0.8684,0.7158,57
