profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.4131,0.8414,0.4283,11
accountant,M,0.425,0.913,0.488,28
architect,F,0.5206,0.9359,0.4153,14
architect,M,0.4065,0.8601,0.4536,47
attorney,F,0.2229,0.9131,0.6902,115
attorney,M,0.2199,0.9283,0.7083,161
comedian,F,0.4397,0.9297,0.4901,5
comedian,M,0.2589,0.8838,0.625,19
composer,F,0.4395,0.9513,0.5118,9
composer,M,0.4738,0.9777,0.5039,35
dentist,F,0.3481,0.927,0.5789,31
dentist,M,0.4061,0.9544,0.5483,83
dietitian,F,0.739,0.9218,0.1827,29
dietitian,M,0.7796,0.8625,0.0828,3
filmmaker,F,0.3097,0.9728,0.6632,17
filmmaker,M,0.397,0.8788,0.4818,34
journalist,F,0.3107,0.8432,0.5324,79
journalist,M,0.2353,0.798,0.5627,72
model,F,0.1522,0.8957,0.7434,47
model,M,0.1541,0.7399,0.5858,10
nurse,F,0.4938,0.9181,0.4243,126
nurse,M,0.6597,0.8234,0.1637,22
painter,F,0.476,0.897,0.421,26
painter,M,0.3682,0.8728,0.5046,30
photographer,F,0.5087,0.9095,0.4008,76
photographer,M,0.4438,0.9553,0.5115,124
physician,F,0.1825,0.9192,0.7367,173
physician,M,0.2007,0.8816,0.6809,150
poet,F,0.2543,0.9034,0.6491,28
poet,M,0.4911,0.8686,0.3775,26
professor,F,0.1967,0.9444,0.7477,422
professor,M,0.2267,0.9489,0.7222,544
psychologist,F,0.3905,0.8926,0.5021,69
psychologist,M,0.3592,0.8328,0.4736,47
software engineer,F,0.3241,0.697,0.3729,11
software engineer,M,0.1796,0.8634,0.6838,53
surgeon,F,0.3973,0.8433,0.446,19
surgeon,M,0.4145,0.8952,0.4808,82
teacher,F,0.3082,0.7995,0.4913,75
teacher,M,0.3952,0.8025,0.4074,48
