id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9995,0.3479,0.6516,"nursing, studies, her, the, she",5
34470,photographer,M,3,photographer,0.9979,0.6784,0.3195,"photography, photographer, photographic, nudes, are",5
9342,professor,M,0,professor,0.9981,0.996,0.0021,"faculty, award, publications, academic, faculty",5
30362,professor,M,0,professor,0.9675,0.9718,-0.0044,"software, ieee, chairs, radio, defined",5
90967,professor,M,0,professor,0.9998,0.9996,0.0003,"ph, materials, editorial, journals, reviewed",5
13344,software engineer,M,15,software engineer,0.2537,0.0812,0.1725,"passion, stories, he, pursue, his",5
6239,journalist,M,4,journalist,0.9991,0.9944,0.0047,"reported, markets, has, turkey, twitter",5
42028,attorney,F,2,attorney,0.3579,0.2825,0.0754,"food, also, enjoys, country, pbs",5
90212,architect,F,10,architect,0.995,0.0344,0.9606,"architectural, design, construction, buildings, progressive",5
43953,teacher,F,7,teacher,0.9953,0.936,0.0592,"students, students, hashtag, gafe4littles, learning",5
27966,professor,F,0,professor,0.9992,0.9984,0.0008,"ph, assistant, she, professor, endodontics",5
41556,teacher,M,7,teacher,0.8154,0.1927,0.6227,"curriculum, school, traveled, school, german",5
43148,professor,M,0,professor,0.9993,0.9989,0.0004,"research, interests, haissam, ph, instructor",5
93200,professor,F,0,professor,0.9989,0.9989,0.0,"methodologies, courses, interests, in, education",5
46307,physician,F,1,physician,0.9991,0.0005,0.9985,"physician, studies, assistant, paramedic, bachelor",5
61841,teacher,F,7,teacher,0.9921,0.9765,0.0156,"bustillos, teachers, educators, and, outstanding",5
23333,teacher,F,7,teacher,0.9987,0.9888,0.0099,"education, elementary, reggio, bachelor, education",5
15551,attorney,F,2,attorney,0.9997,0.9479,0.0518,"law, juris, of, degree, bachelor",5
90631,journalist,F,4,journalist,0.9985,0.9979,0.0006,"contributor, cape, media, ubuntu, and",5
54445,professor,F,0,professor,0.9952,0.979,0.0162,"fellowship, biochemical, ucla, genetics, sch",5
93903,professor,M,0,professor,0.6041,0.8907,-0.2867,"editor, emergency, valani, also, university",5
16348,physician,F,1,physician,0.9998,0.5717,0.4281,"medicine, medicine, medical, practices, milwaukee",5
46287,professor,F,0,professor,0.9348,0.7687,0.1661,"interests, research, examining, york, reading",5
72503,physician,M,1,physician,0.9784,0.9939,-0.0155,"medical, medicine, prolapse, schifter, hospital",5
4602,physician,F,1,physician,0.9998,0.991,0.0088,"medicine, practices, croteau, hospital, with",5
49360,psychologist,M,6,psychologist,0.6437,0.7067,-0.063,"parent, autism, child, professional, maximize",5
42951,professor,M,0,professor,0.6381,0.1082,0.5299,"has, funded, science, training, the",5
77124,professor,M,0,professor,0.9998,0.9994,0.0004,"sharakhov, phd, cytogenetics, he, leads",5
39711,dentist,M,8,dentist,0.9954,0.0341,0.9613,"dentist, dr, patient, practice, in",5
30282,teacher,M,7,teacher,0.6806,0.2302,0.4505,"focuses, adult, strategy, cufaude, facilitation",5
33409,professor,M,0,professor,0.9328,0.423,0.5099,"physician, consultant, is, pittsburgh, also",5
36561,model,M,12,model,0.9989,0.2236,0.7754,"model, professional, 185cm, name, born",5
10637,professor,M,0,professor,0.9277,0.4837,0.444,"arts, university, lecturing, started, the",5
24817,journalist,F,4,journalist,0.4682,0.5733,-0.1051,"much, new, she, doesn, come",5
31505,software engineer,M,15,software engineer,0.9736,0.52,0.4537,"development, application, driven, web, system",5
58312,journalist,F,4,journalist,0.999,0.9989,0.0001,"newspapers, hungarian, news, graduating, started",5
42143,psychologist,M,6,psychologist,0.9991,0.9693,0.0298,"psychotherapy, psychotherapeutic, psychology, counsellor, humanistic",5
4145,attorney,F,2,attorney,0.9975,0.9708,0.0267,"law, ohio, degree, majored, university",5
64458,filmmaker,M,14,filmmaker,0.7374,0.0043,0.7331,"film, move, direction, art, commercial",5
74377,psychologist,M,6,psychologist,0.5701,0.3351,0.235,"recuperating, current, bill, ordinary, bill",5
20281,professor,M,0,professor,0.9952,0.9955,-0.0002,"he, pharmacogenomics, of, the, received",5
55020,photographer,M,3,photographer,0.9821,0.7072,0.2749,"studios, currently, studios, area, models",5
74809,psychologist,F,6,psychologist,0.9448,0.6049,0.3399,"counselling, body, image, offering, she",5
27933,professor,M,0,professor,0.9994,0.9995,-0.0001,"ucla, professor, arrival, faculty, studies",5
11662,professor,F,0,professor,0.9998,0.9998,0.0,"research, faculty, ph, interests, dokuz",5
83094,professor,M,0,professor,0.9963,0.9899,0.0064,"research, interests, studies, program, his",5
42156,physician,M,1,physician,0.9605,0.9571,0.0034,"medical, university, minnesota, school, affiliations",5
15615,software engineer,M,15,software engineer,0.5952,0.4472,0.148,"based, the, startup, microsystems, management",5
79286,nurse,F,5,nurse,0.9862,0.49,0.4962,"instructor, nurse, she, nurse, nursing",5
43044,photographer,F,3,photographer,0.9954,0.3485,0.647,"capturing, work, small, happiness, keen",5
79135,professor,F,0,professor,0.9992,0.9939,0.0053,"philosophy, doctorate, tulane, specialty, literature",5
17636,professor,M,0,professor,0.9992,0.9983,0.0009,"research, ph, postdoctoral, investigating, his",5
54221,poet,M,13,poet,0.9858,0.5925,0.3933,"poets, literature, writer, critical, foremost",5
73575,photographer,M,3,photographer,0.9903,0.1369,0.8534,"photographs, director, clients, magazines, sunwear",5
13578,journalist,M,4,journalist,0.9814,0.43,0.5513,"news, newspapers, zine, magazines, publishes",5
5448,professor,F,0,professor,0.9982,0.7875,0.2108,"researcher, organization, studies, as, an",5
80601,architect,M,10,architect,0.993,0.9948,-0.0018,"architects, architectural, design, architect, institute",5
43877,nurse,F,5,nurse,0.9952,0.8299,0.1653,"scope, health, aging, practice, her",5
44557,professor,M,0,professor,0.9998,0.9998,0.0,"his, ph, microeconomics, completed, university",5
