profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
dietitian,0.6195,0.8257,0.9426,0.3231,30
painter,0.4729,0.4954,0.9146,0.4418,59
accountant,0.3992,0.2938,0.9257,0.5265,41
nurse,0.3948,0.2884,0.9246,0.5297,147
photographer,0.3852,0.2714,0.9408,0.5556,202
teacher,0.3831,0.3304,0.8506,0.4675,131
composer,0.3734,0.0386,0.9854,0.6119,44
architect,0.3698,0.2391,0.9,0.5302,64
psychologist,0.3563,0.1886,0.9126,0.5563,134
dentist,0.353,0.1108,0.967,0.6139,116
comedian,0.3519,0.2211,0.8792,0.5273,27
poet,0.3153,0.1933,0.8438,0.5285,57
model,0.2943,0.1423,0.9208,0.6265,56
filmmaker,0.2765,0.1098,0.9336,0.6571,48
journalist,0.2682,0.1239,0.8894,0.6213,154
surgeon,0.2553,0.0272,0.9117,0.6564,99
physician,0.2327,0.1044,0.9239,0.6912,328
software engineer,0.171,0.0291,0.8625,0.6915,61
attorney,0.1616,0.0017,0.9501,0.7885,270
professor,0.1605,0.0063,0.9615,0.801,932
