profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.3732,0.9421,0.569,10
accountant,M,0.4076,0.9204,0.5128,31
architect,F,0.4899,0.9146,0.4247,17
architect,M,0.3263,0.8947,0.5684,47
attorney,F,0.1606,0.944,0.7834,110
attorney,M,0.1622,0.9543,0.792,160
comedian,F,0.5057,0.8621,0.3563,5
comedian,M,0.317,0.883,0.5661,22
composer,F,0.3014,0.9756,0.6743,9
composer,M,0.392,0.9879,0.5959,35
dentist,F,0.3496,0.967,0.6174,31
dentist,M,0.3543,0.9669,0.6127,85
dietitian,F,0.6563,0.9687,0.3124,27
dietitian,M,0.2879,0.7076,0.4198,3
filmmaker,F,0.2633,0.9679,0.7046,17
filmmaker,M,0.2838,0.9148,0.631,31
journalist,F,0.2379,0.903,0.6651,80
journalist,M,0.3008,0.8747,0.5739,74
model,F,0.2569,0.9211,0.6641,47
model,M,0.4893,0.9193,0.43,9
nurse,F,0.3538,0.9205,0.5667,132
nurse,M,0.7562,0.9608,0.2046,15
painter,F,0.492,0.9185,0.4266,31
painter,M,0.4517,0.9103,0.4586,28
photographer,F,0.4323,0.9192,0.4869,76
photographer,M,0.3569,0.9538,0.597,126
physician,F,0.1985,0.9394,0.7409,171
physician,M,0.27,0.907,0.637,157
poet,F,0.2003,0.857,0.6568,29
poet,M,0.4345,0.83,0.3956,28
professor,F,0.1581,0.9585,0.8004,413
professor,M,0.1623,0.9639,0.8016,519
psychologist,F,0.3702,0.916,0.5458,79
psychologist,M,0.3363,0.9077,0.5714,55
software engineer,F,0.2024,0.9187,0.7162,7
software engineer,M,0.1669,0.8552,0.6883,54
surgeon,F,0.2896,0.9318,0.6422,15
surgeon,M,0.2492,0.9081,0.6589,84
teacher,F,0.3379,0.8784,0.5405,76
teacher,M,0.4456,0.8122,0.3666,55
