profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
dietitian,0.3718,0.202,0.9353,0.5635,30
photographer,0.3457,0.1129,0.9561,0.6105,198
painter,0.3419,0.0966,0.9032,0.5613,60
composer,0.329,0.036,0.9527,0.6237,46
journalist,0.3181,0.1436,0.8929,0.5749,151
comedian,0.2922,0.0046,0.909,0.6168,24
teacher,0.2762,0.1433,0.8299,0.5537,131
accountant,0.2681,0.0978,0.8845,0.6163,44
architect,0.2676,0.1286,0.8415,0.574,71
psychologist,0.2522,0.0397,0.9058,0.6536,135
dentist,0.2276,0.0188,0.968,0.7404,116
surgeon,0.2208,0.0108,0.8988,0.678,103
physician,0.2004,0.0233,0.9298,0.7294,324
software engineer,0.1989,0.0662,0.874,0.6751,54
nurse,0.1966,0.0078,0.9425,0.7459,147
model,0.1919,0.0077,0.9109,0.7189,59
filmmaker,0.1882,0.0142,0.9311,0.7429,55
professor,0.1825,0.0044,0.9627,0.7803,935
attorney,0.1576,0.0005,0.9561,0.7985,262
poet,0.1502,0.0106,0.8802,0.73,55
