profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.382,0.8472,0.4652,14
accountant,M,0.215,0.9019,0.6868,30
architect,F,0.4052,0.914,0.5088,18
architect,M,0.2208,0.8169,0.5961,53
attorney,F,0.1904,0.9494,0.759,109
attorney,M,0.1343,0.9608,0.8266,153
comedian,F,0.4745,0.9791,0.5046,4
comedian,M,0.2558,0.895,0.6392,20
composer,F,0.3135,0.9062,0.5928,11
composer,M,0.3339,0.9673,0.6334,35
dentist,F,0.2406,0.9561,0.7155,31
dentist,M,0.2228,0.9724,0.7495,85
dietitian,F,0.4046,0.9488,0.5442,27
dietitian,M,0.0771,0.814,0.7369,3
filmmaker,F,0.1768,0.9738,0.7969,19
filmmaker,M,0.1943,0.9086,0.7143,36
journalist,F,0.3128,0.9343,0.6215,77
journalist,M,0.3235,0.8499,0.5264,74
model,F,0.1487,0.9167,0.768,47
model,M,0.3614,0.888,0.5267,12
nurse,F,0.1719,0.9451,0.7732,129
nurse,M,0.374,0.9237,0.5497,18
painter,F,0.3628,0.9095,0.5467,28
painter,M,0.3237,0.8978,0.5741,32
photographer,F,0.4183,0.9486,0.5303,74
photographer,M,0.3023,0.9606,0.6583,124
physician,F,0.2176,0.9419,0.7242,170
physician,M,0.1813,0.9165,0.7351,154
poet,F,0.1421,0.8782,0.7362,28
poet,M,0.1586,0.8823,0.7237,27
professor,F,0.1716,0.9612,0.7896,410
professor,M,0.191,0.9639,0.773,525
psychologist,F,0.2735,0.9116,0.6381,80
psychologist,M,0.2213,0.8975,0.6762,55
software engineer,F,0.1993,0.9104,0.7111,7
software engineer,M,0.1989,0.8686,0.6697,47
surgeon,F,0.247,0.8482,0.6012,20
surgeon,M,0.2145,0.911,0.6965,83
teacher,F,0.225,0.8427,0.6177,79
teacher,M,0.3541,0.8105,0.4565,52
