profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
dietitian,0.5478,0.6601,0.9593,0.4116,30
painter,0.3389,0.1279,0.9267,0.5879,57
architect,0.2835,0.1234,0.8866,0.6031,69
photographer,0.283,0.0575,0.9323,0.6493,203
journalist,0.2813,0.1191,0.887,0.6057,152
dentist,0.2714,0.0099,0.9713,0.6999,115
teacher,0.269,0.1514,0.8342,0.5651,131
accountant,0.259,0.0092,0.922,0.663,41
surgeon,0.2492,0.011,0.9056,0.6563,101
comedian,0.2405,0.0367,0.8796,0.6391,25
physician,0.2352,0.0785,0.9214,0.6862,328
psychologist,0.2315,0.0161,0.9172,0.6857,129
composer,0.2284,0.0023,0.9757,0.7473,43
nurse,0.2033,0.017,0.9307,0.7273,146
software engineer,0.1926,0.0889,0.8601,0.6675,58
filmmaker,0.1896,0.0146,0.9345,0.7449,57
attorney,0.175,0.0006,0.9598,0.7847,264
professor,0.1624,0.0047,0.9614,0.7989,944
poet,0.1239,0.0207,0.8768,0.753,56
model,0.0998,0.0015,0.9692,0.8694,51
