profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.4082,0.9087,0.5004,12
accountant,M,0.1973,0.9275,0.7303,29
architect,F,0.3809,0.9631,0.5822,17
architect,M,0.2517,0.8616,0.61,52
attorney,F,0.1916,0.9594,0.7678,108
attorney,M,0.1635,0.96,0.7965,156
comedian,F,0.3067,0.94,0.6333,4
comedian,M,0.2279,0.8681,0.6402,21
composer,F,0.3157,0.9597,0.644,10
composer,M,0.2019,0.9806,0.7786,33
dentist,F,0.2892,0.967,0.6778,31
dentist,M,0.2648,0.9729,0.7081,84
dietitian,F,0.5488,0.9577,0.4089,28
dietitian,M,0.533,0.9824,0.4493,2
filmmaker,F,0.0881,0.9586,0.8704,20
filmmaker,M,0.2444,0.9214,0.677,37
journalist,F,0.2586,0.9071,0.6485,84
journalist,M,0.3095,0.8623,0.5528,68
model,F,0.0593,0.9882,0.9289,41
model,M,0.2662,0.8917,0.6255,10
nurse,F,0.1627,0.9296,0.7669,130
nurse,M,0.5335,0.9396,0.4061,16
painter,F,0.3098,0.9144,0.6046,28
painter,M,0.3669,0.9386,0.5717,29
photographer,F,0.2914,0.9286,0.6372,72
photographer,M,0.2784,0.9343,0.6559,131
physician,F,0.28,0.9313,0.6513,174
physician,M,0.1845,0.9102,0.7257,154
poet,F,0.1392,0.8872,0.748,28
poet,M,0.1085,0.8664,0.7579,28
professor,F,0.1552,0.9619,0.8067,411
professor,M,0.1681,0.9609,0.7929,533
psychologist,F,0.2345,0.9277,0.6932,77
psychologist,M,0.2271,0.9016,0.6745,52
software engineer,F,0.2497,0.9136,0.6639,7
software engineer,M,0.1847,0.8528,0.668,51
surgeon,F,0.3835,0.9212,0.5377,15
surgeon,M,0.2258,0.9028,0.677,86
teacher,F,0.2487,0.8387,0.59,85
teacher,M,0.3066,0.8259,0.5192,46
