profession,gender,token,count_topk,doc_freq,mean_attr,weighted_score
accountant,F,accounting,8,5,1.0816816575825214,8.653453260660172
accountant,F,treasurer,1,1,2.166637897491455,2.166637897491455
accountant,F,financial,3,3,0.6505342026551565,1.9516026079654694
accountant,F,accounts,1,1,1.5913963317871094,1.5913963317871094
accountant,F,tax,2,2,0.7210119068622589,1.4420238137245178
accountant,F,wisconsin,1,1,1.2778910398483276,1.2778910398483276
accountant,F,accountant,1,1,1.1721751689910889,1.1721751689910889
accountant,F,years,3,3,0.37339778741200763,1.120193362236023
accountant,F,receivables,1,1,1.0905205458402634,1.0905205458402634
accountant,F,families,2,1,0.48765964806079865,0.9753192961215973
accountant,F,cpas,2,1,0.471119686961174,0.942239373922348
accountant,F,business,1,1,0.9133284091949463,0.9133284091949463
accountant,F,auditing,2,1,0.4318758398294449,0.8637516796588898
accountant,F,experience,1,1,0.7821249961853027,0.7821249961853027
accountant,F,aged,1,1,0.7358129620552063,0.7358129620552063
accountant,F,expertise,1,1,0.7289450168609619,0.7289450168609619
accountant,F,instructor,1,1,0.7276132702827454,0.7276132702827454
accountant,F,specializes,1,1,0.6943906545639038,0.6943906545639038
accountant,F,payments,1,1,0.6855089068412781,0.6855089068412781
accountant,F,businesses,1,1,0.5887221097946167,0.5887221097946167
accountant,F,serves,1,1,0.5882138013839722,0.5882138013839722
accountant,F,since,1,1,0.4982970952987671,0.4982970952987671
accountant,F,office,1,1,0.45635634660720825,0.45635634660720825
accountant,F,practicing,1,1,0.4428689479827881,0.4428689479827881
accountant,F,behaviors,1,1,0.41546252369880676,0.41546252369880676
accountant,F,finance,1,1,0.3781941831111908,0.3781941831111908
accountant,F,beatriz,1,1,0.3724183365702629,0.3724183365702629
accountant,F,starkville,1,1,0.36178258061408997,0.36178258061408997
accountant,F,working,1,1,0.3542265295982361,0.3542265295982361
accountant,F,adjunct,1,1,0.3139188289642334,0.3139188289642334
accountant,F,undergraduate,1,1,0.25586801767349243,0.25586801767349243
accountant,M,accounting,14,11,1.1807984241417475,16.531177937984467
accountant,M,financial,8,7,0.6739272139966488,5.39141771197319
accountant,M,accountants,4,2,1.1569816917181015,4.627926766872406
accountant,M,finance,7,5,0.3473745116165706,2.4316215813159943
accountant,M,kpmg,1,1,2.145104259252548,2.145104259252548
accountant,M,company,4,4,0.5018545240163803,2.0074180960655212
accountant,M,accountancy,2,2,0.992007726803422,1.984015453606844
accountant,M,cfo,3,3,0.5631960344811281,1.6895881034433842
accountant,M,degree,3,3,0.5422127743562063,1.6266383230686188
accountant,M,pricewaterhousecoopers,2,2,0.5940130762755871,1.1880261525511742
accountant,M,auditing,1,1,1.182083386927843,1.182083386927843
accountant,M,accountant,1,1,1.1809359788894653,1.1809359788894653
accountant,M,accounts,2,2,0.569143533706665,1.13828706741333
accountant,M,public,2,2,0.563985675573349,1.127971351146698
accountant,M,business,3,3,0.3702234129110972,1.1106702387332916
accountant,M,senior,2,2,0.5309340059757233,1.0618680119514465
accountant,M,operations,1,1,0.9111729860305786,0.9111729860305786
accountant,M,bachelor,2,2,0.4465016573667526,0.8930033147335052
accountant,M,firm,2,2,0.42702335119247437,0.8540467023849487
accountant,M,offices,1,1,0.8533852100372314,0.8533852100372314
accountant,M,bachelors,1,1,0.8409417569637299,0.8409417569637299
accountant,M,valuations,2,1,0.4063432030379772,0.8126864060759544
accountant,M,stocks,1,1,0.8024524450302124,0.8024524450302124
accountant,M,positions,1,1,0.7625678777694702,0.7625678777694702
accountant,M,firms,2,2,0.37919916212558746,0.7583983242511749
accountant,M,started,1,1,0.7038424015045166,0.7038424015045166
accountant,M,director,2,2,0.3317842483520508,0.6635684967041016
accountant,M,graduated,1,1,0.6075549125671387,0.6075549125671387
accountant,M,westernzagros,1,1,0.597090095281601,0.597090095281601
accountant,M,reporting,1,1,0.5205816030502319,0.5205816030502319
accountant,M,controller,1,1,0.5161154270172119,0.5161154270172119
accountant,M,rob,1,1,0.5066028833389282,0.5066028833389282
accountant,M,member,1,1,0.5047023296356201,0.5047023296356201
accountant,M,including,1,1,0.49403873085975647,0.49403873085975647
accountant,M,recruit,1,1,0.4707350730895996,0.4707350730895996
accountant,M,treasury,1,1,0.46280229091644287,0.46280229091644287
accountant,M,commerce,1,1,0.460815966129303,0.460815966129303
accountant,M,worked,1,1,0.44161346554756165,0.44161346554756165
accountant,M,chartered,1,1,0.42631983757019043,0.42631983757019043
accountant,M,regional,1,1,0.423213928937912,0.423213928937912
accountant,M,tax,1,1,0.41916102170944214,0.41916102170944214
accountant,M,work,1,1,0.40819936990737915,0.40819936990737915
accountant,M,audits,1,1,0.40059635043144226,0.40059635043144226
accountant,M,international,1,1,0.40033644437789917,0.40033644437789917
accountant,M,clickandpledge,1,1,0.3957122676074505,0.3957122676074505
accountant,M,returns,1,1,0.390430748462677,0.390430748462677
accountant,M,charts,1,1,0.3696253001689911,0.3696253001689911
accountant,M,newsletter,1,1,0.366746723651886,0.366746723651886
accountant,M,completing,1,1,0.3557429313659668,0.3557429313659668
accountant,M,formerly,1,1,0.35431015491485596,0.35431015491485596
accountant,M,specialised,1,1,0.3487834632396698,0.3487834632396698
accountant,M,wyckoff,1,1,0.3461337462067604,0.3461337462067604
accountant,M,working,1,1,0.34476739168167114,0.34476739168167114
accountant,M,requirements,1,1,0.3422675132751465,0.3422675132751465
accountant,M,partner,1,1,0.3357079029083252,0.3357079029083252
accountant,M,practices,1,1,0.3354399800300598,0.3354399800300598
accountant,M,corporate,1,1,0.33352208137512207,0.33352208137512207
accountant,M,mark,1,1,0.3298076093196869,0.3298076093196869
accountant,M,economy,1,1,0.32014143466949463,0.32014143466949463
accountant,M,control,1,1,0.2966245412826538,0.2966245412826538
accountant,M,joined,1,1,0.29020383954048157,0.29020383954048157
accountant,M,career,1,1,0.2901097536087036,0.2901097536087036
accountant,M,acquired,1,1,0.28062018752098083,0.28062018752098083
accountant,M,edik,1,1,0.27888278663158417,0.27888278663158417
accountant,M,mba,1,1,0.25628989934921265,0.25628989934921265
accountant,M,accrue,1,1,0.24054022505879402,0.24054022505879402
accountant,M,president,1,1,0.23015421628952026,0.23015421628952026
accountant,M,resourcing,1,1,0.22126729786396027,0.22126729786396027
accountant,M,served,1,1,0.21666830778121948,0.21666830778121948
accountant,M,paychex,1,1,0.21646187081933022,0.21646187081933022
accountant,M,week,1,1,0.20619069039821625,0.20619069039821625
accountant,M,previously,1,1,0.20393110811710358,0.20393110811710358
accountant,M,various,1,1,0.20212292671203613,0.20212292671203613
accountant,M,grew,1,1,0.19741035997867584,0.19741035997867584
accountant,M,schedule,1,1,0.1953425407409668,0.1953425407409668
accountant,M,bank,1,1,0.17411306500434875,0.17411306500434875
architect,F,architecture,10,6,0.9178184986114502,9.178184986114502
architect,F,architect,3,3,1.8392166495323181,5.517649948596954
architect,F,architectural,4,4,1.0219075232744217,4.087630093097687
architect,F,architects,3,3,0.7993317047754923,2.397995114326477
architect,F,design,3,2,0.564090371131897,1.692271113395691
