profession,gender,token,count_topk,doc_freq,mean_attr,weighted_score
accountant,F,accounting,8,5,0.9112206399440765,7.289765119552612
accountant,F,families,2,1,1.2725534439086914,2.545106887817383
accountant,F,financial,3,3,0.8228426178296407,2.468527853488922
accountant,F,accounts,1,1,2.2758350372314453,2.2758350372314453
accountant,F,aged,1,1,1.440225601196289,1.440225601196289
accountant,F,tax,2,2,0.7172057926654816,1.4344115853309631
accountant,F,cpas,3,1,0.47425591697295505,1.4227677509188652
accountant,F,businesses,1,1,0.9517214298248291,0.9517214298248291
accountant,F,accountant,1,1,0.9235104322433472,0.9235104322433472
accountant,F,works,1,1,0.8280045986175537,0.8280045986175537
accountant,F,understands,1,1,0.7965902090072632,0.7965902090072632
accountant,F,mainly,1,1,0.7520962953567505,0.7520962953567505
accountant,F,auditing,2,1,0.3395789358764887,0.6791578717529774
accountant,F,hgg,1,1,0.5225134789943695,0.5225134789943695
accountant,F,small,1,1,0.5053141713142395,0.5053141713142395
accountant,F,portfolio,1,1,0.49603188037872314,0.49603188037872314
accountant,F,consulting,1,1,0.4776585102081299,0.4776585102081299
accountant,F,instructor,1,1,0.4623383581638336,0.4623383581638336
accountant,F,ends,1,1,0.46204620599746704,0.46204620599746704
accountant,F,area,1,1,0.4449635446071625,0.4449635446071625
accountant,F,practicing,1,1,0.39677369594573975,0.39677369594573975
accountant,F,years,1,1,0.39619725942611694,0.39619725942611694
accountant,F,experience,1,1,0.3872146010398865,0.3872146010398865
accountant,F,corporations,1,1,0.3843069076538086,0.3843069076538086
accountant,F,starkville,1,1,0.27828484028577805,0.27828484028577805
accountant,F,office,1,1,0.2692009508609772,0.2692009508609772
accountant,F,charitable,1,1,0.18089765310287476,0.18089765310287476
accountant,F,business,1,1,0.17373695969581604,0.17373695969581604
accountant,M,accounting,13,11,1.04109365435747,13.53421750664711
accountant,M,financial,9,8,0.780682279003991,7.026140511035919
accountant,M,accountants,3,2,1.4287253220876057,4.286175966262817
accountant,M,finance,6,6,0.5115477169553438,3.0692863017320633
accountant,M,while,1,1,2.7567553520202637,2.7567553520202637
accountant,M,accountancy,2,2,1.1600284650921822,2.3200569301843643
accountant,M,taxes,1,1,1.7599657773971558,1.7599657773971558
accountant,M,accounts,3,2,0.5214900771776835,1.5644702315330505
accountant,M,kpmg,1,1,1.5283589661121368,1.5283589661121368
accountant,M,firm,1,1,1.5215964317321777,1.5215964317321777
accountant,M,audits,2,2,0.6923952717334032,1.3847905434668064
accountant,M,degree,3,3,0.4250481426715851,1.2751444280147552
accountant,M,pricewaterhousecoopers,2,2,0.6097352220676839,1.2194704441353679
accountant,M,accountant,1,1,1.125159502029419,1.125159502029419
accountant,M,valuations,2,1,0.548337310552597,1.096674621105194
accountant,M,operations,1,1,0.987150251865387,0.987150251865387
accountant,M,stocks,1,1,0.9825781583786011,0.9825781583786011
accountant,M,public,2,2,0.4718397855758667,0.9436795711517334
accountant,M,reporting,2,1,0.4693334996700287,0.9386669993400574
accountant,M,trading,1,1,0.8669710755348206,0.8669710755348206
accountant,M,director,2,2,0.42107459902763367,0.8421491980552673
accountant,M,bachelors,1,1,0.8290886133909225,0.8290886133909225
accountant,M,started,1,1,0.8246399760246277,0.8246399760246277
accountant,M,chartered,2,1,0.41120702028274536,0.8224140405654907
accountant,M,graduated,1,1,0.7730215191841125,0.7730215191841125
accountant,M,experience,2,2,0.3798350989818573,0.7596701979637146
accountant,M,offices,1,1,0.7057152986526489,0.7057152986526489
accountant,M,tax,2,2,0.3458838313817978,0.6917676627635956
accountant,M,survivor,1,1,0.6883905529975891,0.6883905529975891
accountant,M,cfo,1,1,0.6809885799884796,0.6809885799884796
accountant,M,positions,1,1,0.6572054624557495,0.6572054624557495
accountant,M,auditing,1,1,0.6277913004159927,0.6277913004159927
accountant,M,clients,1,1,0.62632155418396,0.62632155418396
accountant,M,completing,1,1,0.6174547672271729,0.6174547672271729
accountant,M,previously,2,2,0.29045340418815613,0.5809068083763123
accountant,M,returns,1,1,0.5763133764266968,0.5763133764266968
