profession,gender,token,count_topk,doc_freq,mean_attr,weighted_score
accountant,F,accounting,8,5,1.2269632760435343,9.815706208348274
accountant,F,financial,3,3,0.9835248589515686,2.950574576854706
accountant,F,accountant,2,2,1.4191057570278645,2.838211514055729
accountant,F,tax,2,2,1.3820504993200302,2.7641009986400604
accountant,F,finance,2,2,1.2693928107619286,2.538785621523857
accountant,F,corporation,1,1,2.406424582004547,2.406424582004547
accountant,F,payments,1,1,2.1295764446258545,2.1295764446258545
accountant,F,accounts,1,1,1.886829137802124,1.886829137802124
accountant,F,receivables,1,1,1.8573532700538635,1.8573532700538635
accountant,F,treasurer,1,1,1.712907314300537,1.712907314300537
accountant,F,management,1,1,1.5688581466674805,1.5688581466674805
accountant,F,past-due,1,1,1.3651442229747772,1.3651442229747772
accountant,F,clients,2,1,0.6497987993061543,1.2995975986123085
accountant,F,business,2,2,0.5941021293401718,1.1882042586803436
accountant,F,small,1,1,1.0712778568267822,1.0712778568267822
accountant,F,academy,1,1,1.0397398471832275,1.0397398471832275
accountant,F,expertise,1,1,0.9584087133407593,0.9584087133407593
accountant,F,beatriz,1,1,0.8787490651011467,0.8787490651011467
accountant,F,treehouse,1,1,0.8630219101905823,0.8630219101905823
accountant,F,simple,1,1,0.7943898141384125,0.7943898141384125
accountant,F,specializes,1,1,0.7785148620605469,0.7785148620605469
accountant,F,bills,1,1,0.7621835470199585,0.7621835470199585
accountant,F,office,1,1,0.7612795829772949,0.7612795829772949
accountant,F,affairs,1,1,0.7412492036819458,0.7412492036819458
accountant,F,clichã©s,1,1,0.7174117565155029,0.7174117565155029
accountant,F,works,1,1,0.7082342505455017,0.7082342505455017
accountant,F,planning,1,1,0.7001816034317017,0.7001816034317017
accountant,F,customer,1,1,0.6711311340332031,0.6711311340332031
accountant,F,meet,1,1,0.6217219829559326,0.6217219829559326
accountant,F,families,1,1,0.6142880320549011,0.6142880320549011
accountant,F,corporations,1,1,0.5849015712738037,0.5849015712738037
accountant,F,taxation,1,1,0.5796784162521362,0.5796784162521362
