profession,gender,token,count_topk,doc_freq,mean_attr,weighted_score
accountant,F,accounting,7,5,0.9361738807388714,6.5532171651721
accountant,F,tax,2,2,1.6964974403381348,3.3929948806762695
accountant,F,treasurer,1,1,2.0545318126678467,2.0545318126678467
accountant,F,management,2,2,0.9461056203581393,1.8922112407162786
accountant,F,accountant,2,2,0.9166922923177481,1.8333845846354961
accountant,F,clients,2,1,0.8301508873701096,1.6603017747402191
accountant,F,financial,2,2,0.7964707016944885,1.592941403388977
accountant,F,receivables,1,1,1.548135206103325,1.548135206103325
accountant,F,cpas,3,1,0.5032530492171645,1.5097591476514935
accountant,F,payments,1,1,1.3730216026306152,1.3730216026306152
accountant,F,simple,1,1,1.2630848288536072,1.2630848288536072
accountant,F,office,1,1,1.0168721303343773,1.0168721303343773
accountant,F,accounts,1,1,0.9727640748023987,0.9727640748023987
accountant,F,past-due,1,1,0.9533542096614838,0.9533542096614838
accountant,F,expertise,1,1,0.9440040588378906,0.9440040588378906
accountant,F,consulting,1,1,0.8948628194630146,0.8948628194630146
accountant,F,west,1,1,0.8222782835364342,0.8222782835364342
accountant,F,corporation,1,1,0.8171932697296143,0.8171932697296143
accountant,F,began,1,1,0.8129127025604248,0.8129127025604248
accountant,F,estates,1,1,0.7854115962982178,0.7854115962982178
accountant,F,planning,1,1,0.7749541401863098,0.7749541401863098
accountant,F,adjunct,1,1,0.6728198230266571,0.6728198230266571
accountant,F,high-powered,1,1,0.6524587124586105,0.6524587124586105
accountant,F,beatriz,1,1,0.6111134141683578,0.6111134141683578
accountant,F,serves,1,1,0.5913515686988831,0.5913515686988831
accountant,F,struggling,1,1,0.5574489831924438,0.5574489831924438
accountant,F,aia,1,1,0.5405186638236046,0.5405186638236046
accountant,F,sustainable,1,1,0.5393552780151367,0.5393552780151367
accountant,F,working,1,1,0.48747390508651733,0.48747390508651733
accountant,F,small,1,1,0.443453848361969,0.443453848361969
accountant,F,worked,1,1,0.44246187806129456,0.44246187806129456
accountant,F,licensed,1,1,0.43420496582984924,0.43420496582984924
accountant,F,customer,1,1,0.43011224269866943,0.43011224269866943
accountant,F,group,1,1,0.3515617847442627,0.3515617847442627
accountant,F,business,1,1,0.3484005928039551,0.3484005928039551
accountant,F,roles,1,1,0.3425435423851013,0.3425435423851013
accountant,F,experience,1,1,0.3388476073741913,0.3388476073741913
accountant,F,lott,1,1,0.3247392773628235,0.3247392773628235
accountant,F,moved,1,1,0.29826250672340393,0.29826250672340393
accountant,F,years,1,1,0.2982034385204315,0.2982034385204315
accountant,F,degree,1,1,0.2661314010620117,0.2661314010620117
accountant,F,past,1,1,0.2515157088637352,0.2515157088637352
accountant,F,underhill,1,1,0.17512183915823698,0.17512183915823698
accountant,F,secrets,1,1,0.16733676195144653,0.16733676195144653
accountant,M,accounting,13,11,1.128222462362968,14.666892010718584
accountant,M,accountants,4,2,1.3234046180732548,5.293618472293019
