id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9995,0.1914,0.8081,"nursing, studies, university, patients, medical",5
34470,photographer,M,3,photographer,0.9974,0.9299,0.0676,"photography, photographic, are, nudes, experts",5
9342,professor,M,0,professor,0.9983,0.9755,0.0228,"award, faculty, faculty, publications, research",5
30362,professor,M,0,professor,0.9275,0.8426,0.0849,"software, chairs, radio, ieee, leading",5
90967,professor,M,0,professor,0.9998,0.9996,0.0002,"editorial, materials, journals, journals, reviewed",5
13344,software engineer,M,15,software engineer,0.1232,0.0595,0.0637,"stories, decided, passion, speculative, fiction",5
6239,journalist,M,4,journalist,0.9989,0.9932,0.0056,"reported, markets, turkey, lebanon, has",5
42028,attorney,F,2,attorney,0.4263,0.2361,0.1902,"food, enjoys, country, pbs, enjoys",5
90212,architect,F,10,architect,0.9954,0.0552,0.9401,"architectural, design, construction, progressive, buildings",5
43953,teacher,F,7,teacher,0.9792,0.9548,0.0244,"students, students, hashtag, with, gafe4littles",5
27966,professor,F,0,professor,0.9992,0.9953,0.0039,"ph, endodontics, received, school, research",5
41556,teacher,M,7,teacher,0.8869,0.2264,0.6604,"curriculum, school, school, traveled, german",5
43148,professor,M,0,professor,0.9992,0.9983,0.0009,"instructor, research, haissam, the, ph",5
93200,professor,F,0,professor,0.9987,0.9985,0.0002,"courses, methodologies, in, interests, education",5
46307,professor,F,0,professor,0.8814,0.0738,0.8077,"received, associates, taught, paramedic, detroit",5
61841,teacher,F,7,teacher,0.792,0.1822,0.6099,"nominated, outstanding, teachers, and, educators",5
23333,teacher,F,7,teacher,0.997,0.9738,0.0232,"bachelor, elementary, reggio, working, education",5
15551,attorney,F,2,attorney,0.9995,0.7901,0.2094,"law, of, bachelor, degree, juris",5
90631,journalist,F,4,journalist,0.9985,0.9954,0.0031,"contributor, media, cape, has, and",5
54445,professor,F,0,professor,0.9907,0.9551,0.0356,"fellowship, biochemical, sch, ucla, genetics",5
93903,professor,M,0,professor,0.6336,0.8214,-0.1877,"editor, emergency, valani, dr, also",5
16348,physician,F,1,physician,0.9998,0.5018,0.498,"practices, medicine, medical, medicine, specializes",5
46287,professor,F,0,professor,0.5826,0.3693,0.2134,"examining, research, experience, interests, city",5
72503,physician,M,1,physician,0.9866,0.9926,-0.006,"medical, medicine, prolapse, schifter, at",5
4602,physician,F,1,physician,0.9998,0.9961,0.0037,"medicine, practices, croteau, croteau, croteau",5
49360,psychologist,M,6,psychologist,0.8835,0.737,0.1465,"parent, autism, child, professional, maximize",5
42951,professor,M,0,professor,0.9414,0.2969,0.6445,"funded, has, was, in, rushton",5
77124,professor,M,0,professor,0.9997,0.9993,0.0003,"sharakhov, leads, sharakhov, cytogenetics, editorial",5
39711,dentist,M,8,dentist,0.7826,0.2348,0.5478,"dr, is, stone, caredash, licensed",5
30282,teacher,M,7,teacher,0.783,0.4356,0.3475,"focuses, on, adult, facilitation, facilitation",5
33409,professor,M,0,professor,0.9148,0.4618,0.4529,"consultant, physician, pittsburgh, is, physician",5
36561,model,M,12,model,0.9991,0.9899,0.0091,"born, [UNK], determined, name, is",5
10637,professor,M,0,professor,0.9245,0.5216,0.4029,"lecturing, university, arts, the, started",5
24817,attorney,F,2,attorney,0.4946,0.3576,0.137,"think, texas, arguments, think, world",5
31505,software engineer,M,15,software engineer,0.9668,0.7164,0.2504,"development, application, driven, experience, system",5
58312,journalist,F,4,journalist,0.9989,0.9988,0.0001,"newspapers, news, hungarian, graduating, major",5
42143,psychologist,M,6,psychologist,0.9991,0.9727,0.0264,"psychotherapy, psychotherapeutic, psychology, counsellor, humanistic",5
4145,attorney,F,2,attorney,0.9969,0.9825,0.0144,"law, ohio, degree, university, majored",5
64458,filmmaker,M,14,filmmaker,0.8139,0.0073,0.8065,"film, direction, move, art, in",5
74377,psychologist,M,6,psychologist,0.46,0.3803,0.0797,"recuperating, current, ordinary, bill, bill",5
20281,professor,M,0,professor,0.9898,0.9901,-0.0003,"of, the, krynetskiy, received, lab",5
55020,photographer,M,3,photographer,0.9684,0.4425,0.5258,"studios, studios, area, models, currently",5
74809,psychologist,F,6,psychologist,0.9389,0.6903,0.2487,"counselling, body, image, click, body",5
27933,professor,M,0,professor,0.9985,0.7511,0.2475,"arrival, prior, ucla, studies, theater",5
11662,professor,F,0,professor,0.9998,0.9997,0.0001,"ph, faculty, research, dokuz, interests",5
83094,professor,M,0,professor,0.996,0.9959,0.0002,"program, interests, fathering, development, studies",5
42156,physician,M,1,physician,0.954,0.9606,-0.0067,"medical, university, minnesota, school, affiliations",5
15615,software engineer,M,15,software engineer,0.5904,0.4478,0.1426,"based, management, microsystems, the, startup",5
79286,nurse,F,5,nurse,0.9975,0.8763,0.1212,"nursing, faculty, instructor, university, career",5
43044,photographer,F,3,photographer,0.9907,0.5475,0.4432,"capturing, small, in, keen, happiness",5
79135,professor,F,0,professor,0.9992,0.989,0.0102,"philosophy, doctorate, specialty, ethics, earned",5
17636,professor,M,0,professor,0.9992,0.998,0.0012,"director, investigating, postdoctoral, the, ph",5
54221,poet,M,13,poet,0.9854,0.5879,0.3975,"poets, literature, writer, critical, engagement",5
