profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
dietitian,0.6025,0.7967,0.9172,0.3147,32
painter,0.4866,0.4792,0.9059,0.4194,55
teacher,0.4493,0.4444,0.8566,0.4073,120
model,0.4441,0.5079,0.9107,0.4666,55
accountant,0.3938,0.3397,0.9009,0.5071,42
comedian,0.3851,0.3109,0.8655,0.4804,27
photographer,0.3808,0.2854,0.925,0.5442,204
dentist,0.3733,0.1444,0.9643,0.591,116
composer,0.3678,0.1011,0.9791,0.6113,44
nurse,0.3618,0.2266,0.8176,0.4558,142
architect,0.3576,0.2547,0.8977,0.5401,65
surgeon,0.3449,0.2399,0.907,0.5622,99
poet,0.341,0.2629,0.8352,0.4942,57
filmmaker,0.2848,0.083,0.9093,0.6245,50
psychologist,0.2804,0.1653,0.8889,0.6086,125
journalist,0.2584,0.1562,0.8461,0.5877,159
physician,0.2179,0.1131,0.9103,0.6923,332
software engineer,0.1955,0.0881,0.8471,0.6516,61
professor,0.1883,0.0175,0.9513,0.763,939
attorney,0.1699,0.0034,0.9335,0.7636,276
