profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.3881,0.8727,0.4846,12
accountant,M,0.3961,0.9122,0.5161,30
architect,F,0.4745,0.8969,0.4225,17
architect,M,0.3162,0.898,0.5818,48
attorney,F,0.1614,0.9215,0.7601,115
attorney,M,0.176,0.9421,0.7661,161
comedian,F,0.5293,0.8194,0.2901,6
comedian,M,0.3439,0.8787,0.5348,21
composer,F,0.406,0.9826,0.5767,9
composer,M,0.358,0.9782,0.6202,35
dentist,F,0.2998,0.9624,0.6626,31
dentist,M,0.4001,0.965,0.5649,85
dietitian,F,0.66,0.9332,0.2732,28
dietitian,M,0.1999,0.8052,0.6053,4
filmmaker,F,0.2506,0.9532,0.7027,17
filmmaker,M,0.3024,0.8867,0.5843,33
journalist,F,0.2608,0.8669,0.606,80
journalist,M,0.2558,0.825,0.5692,79
model,F,0.4764,0.9245,0.4481,46
model,M,0.2792,0.84,0.5607,9
nurse,F,0.3502,0.825,0.4748,122
nurse,M,0.4331,0.7725,0.3394,20
painter,F,0.5265,0.8937,0.3673,28
painter,M,0.4452,0.9186,0.4734,27
photographer,F,0.3993,0.9102,0.5109,80
photographer,M,0.3688,0.9345,0.5657,124
physician,F,0.2026,0.9154,0.7128,176
physician,M,0.2352,0.9045,0.6693,156
poet,F,0.2236,0.8747,0.6511,28
poet,M,0.4544,0.7972,0.3428,29
professor,F,0.194,0.9476,0.7536,415
professor,M,0.1838,0.9542,0.7704,524
psychologist,F,0.3228,0.9103,0.5876,74
psychologist,M,0.2188,0.8578,0.639,51
software engineer,F,0.3436,0.8492,0.5055,8
software engineer,M,0.1731,0.8468,0.6737,53
surgeon,F,0.1899,0.8899,0.6999,17
surgeon,M,0.377,0.9106,0.5336,82
teacher,F,0.412,0.8591,0.4472,73
teacher,M,0.5074,0.8527,0.3453,47
