id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9995,0.3041,0.6954,"nursing, studies, her, the, she",5
34470,photographer,M,3,photographer,0.9979,0.7937,0.2041,"photography, photographer, photographic, nudes, talents",5
9342,professor,M,0,professor,0.9981,0.9912,0.0069,"faculty, publications, award, academic, research",5
30362,professor,M,0,professor,0.9691,0.966,0.0031,"software, ieee, chairs, radio, systems",5
90967,professor,M,0,professor,0.9998,0.9996,0.0003,"ph, materials, editorial, journals, reviewed",5
13344,software engineer,M,15,software engineer,0.2452,0.0805,0.1647,"passion, stories, he, pursue, his",5
6239,journalist,M,4,journalist,0.999,0.9946,0.0044,"reported, markets, has, turkey, jazeera",5
42028,attorney,F,2,attorney,0.3484,0.2854,0.0629,"food, also, country, enjoys, pbs",5
90212,architect,F,10,architect,0.9942,0.039,0.9552,"architectural, design, construction, buildings, focused",5
43953,teacher,F,7,teacher,0.9951,0.9339,0.0612,"students, students, hashtag, gafe4littles, learning",5
27966,professor,F,0,professor,0.9993,0.9985,0.0008,"ph, assistant, she, professor, endodontics",5
41556,teacher,M,7,teacher,0.8179,0.1965,0.6213,"curriculum, traveled, school, school, german",5
43148,professor,M,0,professor,0.9993,0.9989,0.0004,"research, interests, haissam, ph, instructor",5
93200,professor,F,0,professor,0.9989,0.9989,0.0,"methodologies, courses, interests, in, education",5
46307,physician,F,1,physician,0.9991,0.0005,0.9986,"physician, studies, assistant, paramedic, bachelor",5
61841,teacher,F,7,teacher,0.9921,0.9762,0.016,"bustillos, teachers, educators, and, outstanding",5
23333,teacher,F,7,teacher,0.9987,0.9891,0.0096,"education, elementary, reggio, bachelor, education",5
15551,attorney,F,2,attorney,0.9997,0.9446,0.0551,"law, juris, of, degree, bachelor",5
90631,journalist,F,4,journalist,0.9985,0.9979,0.0005,"contributor, cape, media, ubuntu, for",5
54445,professor,F,0,professor,0.9952,0.9714,0.0237,"fellowship, biochemical, ucla, genetics, after",5
93903,professor,M,0,professor,0.5997,0.8796,-0.2799,"editor, emergency, valani, also, university",5
16348,physician,F,1,physician,0.9998,0.5927,0.4071,"medicine, medicine, medical, practices, milwaukee",5
46287,professor,F,0,professor,0.932,0.7599,0.1722,"interests, research, examining, york, reading",5
72503,physician,M,1,physician,0.9776,0.9937,-0.0161,"medical, medicine, prolapse, schifter, hospital",5
4602,physician,F,1,physician,0.9998,0.9912,0.0087,"medicine, practices, croteau, hospital, with",5
49360,psychologist,M,6,psychologist,0.6193,0.686,-0.0667,"parent, autism, child, maximize, professional",5
42951,professor,M,0,professor,0.6222,0.1054,0.5169,"has, funded, training, the, science",5
77124,professor,M,0,professor,0.9998,0.9994,0.0004,"sharakhov, phd, cytogenetics, he, leads",5
39711,dentist,M,8,dentist,0.9956,0.0311,0.9645,"dentist, dr, patient, practice, in",5
30282,teacher,M,7,teacher,0.6612,0.2893,0.3719,"focuses, adult, strategy, principles, cufaude",5
33409,professor,M,0,professor,0.9304,0.3948,0.5356,"is, consultant, physician, pittsburgh, also",5
36561,model,M,12,model,0.999,0.2343,0.7647,"model, professional, 185cm, name, born",5
10637,professor,M,0,professor,0.9154,0.7529,0.1625,"arts, university, started, lecturing, education",5
24817,journalist,F,4,journalist,0.4562,0.5806,-0.1245,"much, new, she, doesn, come",5
31505,software engineer,M,15,software engineer,0.9741,0.5417,0.4324,"development, application, driven, system, web",5
58312,journalist,F,4,journalist,0.999,0.9989,0.0001,"newspapers, hungarian, news, started, major",5
42143,psychologist,M,6,psychologist,0.9991,0.9654,0.0337,"psychotherapy, psychotherapeutic, psychology, counsellor, humanistic",5
4145,attorney,F,2,attorney,0.9973,0.9716,0.0257,"law, ohio, degree, majored, university",5
64458,filmmaker,M,14,filmmaker,0.7349,0.0041,0.7308,"film, move, direction, art, commercial",5
74377,psychologist,M,6,psychologist,0.5872,0.3275,0.2597,"recuperating, current, bill, ordinary, bill",5
20281,professor,M,0,professor,0.9955,0.9964,-0.0008,"he, pharmacogenomics, of, the, received",5
55020,photographer,M,3,photographer,0.9815,0.7127,0.2688,"studios, currently, studios, area, models",5
74809,psychologist,F,6,psychologist,0.9429,0.5991,0.3438,"counselling, body, image, offering, she",5
27933,professor,M,0,professor,0.9993,0.9995,-0.0001,"ucla, professor, arrival, faculty, studies",5
11662,professor,F,0,professor,0.9998,0.9998,0.0,"research, faculty, ph, interests, dokuz",5
83094,professor,M,0,professor,0.9962,0.9898,0.0064,"research, interests, studies, program, his",5
42156,physician,M,1,physician,0.96,0.9585,0.0015,"medical, university, minnesota, school, affiliations",5
15615,software engineer,M,15,software engineer,0.5904,0.4478,0.1426,"based, management, microsystems, the, startup",5
79286,nurse,F,5,nurse,0.9861,0.4929,0.4932,"instructor, nurse, she, nurse, nursing",5
43044,photographer,F,3,photographer,0.9952,0.3361,0.6591,"capturing, work, small, happiness, keen",5
79135,professor,F,0,professor,0.9992,0.9932,0.006,"philosophy, doctorate, tulane, specialty, literature",5
17636,professor,M,0,professor,0.9993,0.9981,0.0012,"research, ph, postdoctoral, investigating, director",5
54221,poet,M,13,poet,0.987,0.6208,0.3662,"poets, literature, writer, critical, foremost",5
73575,photographer,M,3,photographer,0.9905,0.2166,0.7738,"photographs, director, clients, magazines, appear",5
13578,journalist,M,4,journalist,0.9798,0.435,0.5448,"newspapers, news, magazines, zine, publishes",5
5448,professor,F,0,professor,0.9981,0.7956,0.2025,"researcher, organization, studies, as, an",5
80601,architect,M,10,architect,0.9926,0.9947,-0.0021,"architects, architectural, architect, design, institute",5
43877,nurse,F,5,nurse,0.9949,0.9485,0.0464,"scope, health, aging, practice, diagnosis",5
44557,professor,M,0,professor,0.9999,0.9998,0.0,"his, ph, completed, microeconomics, university",5
61558,software engineer,M,15,software engineer,0.5229,0.1007,0.4222,"experience, software, and, extensive, development",5
12480,professor,M,0,professor,0.9848,0.2127,0.7721,"areas, prior, work, teri, coordinator",5
37372,dentist,F,8,dentist,0.9949,0.9456,0.0493,"dental, surgery, dr, carriers, especially",5
48225,professor,F,0,professor,0.747,0.3126,0.4343,"earned, her, her, residency, netherlands",5
35423,composer,F,17,composer,0.9816,0.9897,-0.0081,"composers, ensemble, american, symphony, saxophone",5
4598,teacher,M,7,teacher,0.999,0.6199,0.3791,"ratemyteachers, teacher, leave, average, review",5
76006,journalist,F,4,journalist,0.992,0.8884,0.1036,"work, has, of, fact, knucklebone",5
52486,physician,F,1,physician,0.9996,0.9151,0.0845,"md, 1093920274, alabama, professional, credentials",5
