profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
dietitian,0.6174,0.8244,0.9439,0.3265,30
painter,0.4713,0.513,0.9134,0.4422,59
nurse,0.3994,0.2989,0.9243,0.5248,147
photographer,0.385,0.2633,0.9411,0.5561,202
teacher,0.3849,0.3391,0.8505,0.4656,131
accountant,0.384,0.2348,0.9263,0.5424,41
architect,0.3835,0.2484,0.8987,0.5152,64
comedian,0.3786,0.2812,0.88,0.5014,27
composer,0.3774,0.0761,0.9852,0.6078,44
psychologist,0.3515,0.1851,0.912,0.5605,134
dentist,0.345,0.1066,0.967,0.622,116
poet,0.3439,0.2598,0.8422,0.4983,57
model,0.3045,0.1576,0.9207,0.6161,56
filmmaker,0.2702,0.069,0.9332,0.6629,48
surgeon,0.2666,0.0549,0.9117,0.645,99
journalist,0.262,0.1186,0.89,0.628,154
physician,0.2239,0.0943,0.9237,0.6998,328
software engineer,0.1776,0.0534,0.8611,0.6835,61
attorney,0.1653,0.0019,0.9501,0.7848,270
professor,0.1608,0.0065,0.9611,0.8003,932
