profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.3884,0.9452,0.5569,10
accountant,M,0.3825,0.9202,0.5377,31
architect,F,0.4808,0.9115,0.4308,17
architect,M,0.3483,0.8941,0.5458,47
attorney,F,0.1645,0.9439,0.7794,110
attorney,M,0.1658,0.9544,0.7886,160
comedian,F,0.5056,0.8649,0.3594,5
comedian,M,0.3497,0.8834,0.5337,22
composer,F,0.303,0.9755,0.6726,9
composer,M,0.3965,0.9877,0.5911,35
dentist,F,0.3424,0.9671,0.6247,31
dentist,M,0.3459,0.9669,0.621,85
dietitian,F,0.6542,0.9689,0.3148,27
dietitian,M,0.2866,0.7183,0.4317,3
filmmaker,F,0.2502,0.9676,0.7174,17
filmmaker,M,0.2812,0.9143,0.6331,31
journalist,F,0.2336,0.9029,0.6693,80
journalist,M,0.2927,0.8761,0.5833,74
model,F,0.2703,0.9211,0.6507,47
model,M,0.4832,0.9187,0.4356,9
nurse,F,0.3577,0.9196,0.5619,132
nurse,M,0.7666,0.9649,0.1984,15
painter,F,0.4904,0.9166,0.4261,31
painter,M,0.4501,0.91,0.4599,28
photographer,F,0.4305,0.9198,0.4893,76
photographer,M,0.3576,0.954,0.5964,126
physician,F,0.1864,0.9397,0.7533,171
physician,M,0.2647,0.9063,0.6417,157
poet,F,0.2074,0.8556,0.6482,29
poet,M,0.4853,0.8283,0.3431,28
professor,F,0.1656,0.9577,0.7921,413
professor,M,0.157,0.9639,0.8068,519
psychologist,F,0.3711,0.9158,0.5447,79
psychologist,M,0.3233,0.9064,0.5832,55
software engineer,F,0.1368,0.9178,0.7811,7
software engineer,M,0.1829,0.8538,0.6709,54
surgeon,F,0.2895,0.9329,0.6434,15
surgeon,M,0.2626,0.9079,0.6453,84
teacher,F,0.3384,0.8789,0.5406,76
teacher,M,0.4492,0.8111,0.3619,55
