id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9993,0.4632,0.5361,"nursing, patients, patients, medical, patients",5
34470,photographer,M,3,photographer,0.998,0.7467,0.2512,"photography, photographic, artwork, experts, professional",5
9342,professor,M,0,professor,0.9985,0.9927,0.0058,"faculty, publications, teaching, faculty, research",5
30362,professor,M,0,professor,0.8858,0.9462,-0.0605,"Bell, Research, Agency, this, adaptive",5
90967,professor,M,0,professor,0.9996,0.9995,0.0001,"Ph, doctoral, Prior, University, conferences",5
13344,software engineer,M,15,software engineer,0.3531,0.0188,0.3343,"Scientist, speculative, passion, published, pursue",5
6239,journalist,M,4,journalist,0.9968,0.9876,0.0092,"VICE, Twitter, reported, markets, work",5
42028,dietitian,F,18,dietitian,0.5436,0.2404,0.3032,"enjoys, Louisiana, patio, reading, dishes",5
90212,architect,F,10,architect,0.997,0.9566,0.0404,"design, architectural, progressive, in, environment",5
43953,teacher,F,7,teacher,0.9933,0.0148,0.9785,"school, students, students, learning, kids",5
27966,professor,F,0,professor,0.9984,0.9374,0.061,"Ph, Japan, Dr, Biology, Research",5
41556,teacher,M,7,teacher,0.8791,0.4537,0.4254,"School, studied, school, interest, ulum",5
43148,professor,M,0,professor,0.9986,0.9971,0.0015,"Ph, interests, instructor, research, lie",5
93200,professor,F,0,professor,0.9979,0.9988,-0.001,"courses, strategies, Education, University, teaching",5
46307,nurse,F,5,nurse,0.8764,0.4687,0.4077,"paramed, training, paramed, Assistant, Fighters",5
61841,professor,F,0,professor,0.7011,0.0102,0.6909,"edu, educators, educators, Yale, Program",5
23333,teacher,F,7,teacher,0.9967,0.9478,0.049,"education, elementary, childhood, education, working",5
15551,attorney,F,2,attorney,0.9993,0.9992,0.0001,"Law, licensed, Political, Honor, Court",5
90631,journalist,F,4,journalist,0.9971,0.9952,0.0019,"workshops, business, commissioned, writing, Media",5
54445,professor,F,0,professor,0.9955,0.9677,0.0278,"joined, residency, fellowship, pediatric, UW",5
93903,professor,M,0,professor,0.5637,0.0429,0.5208,"fellowship, editor, iatric, Dr, Medicine",5
16348,physician,F,1,physician,0.998,0.2721,0.7259,"Medicine, practices, specializes, medicine, affiliated",5
46287,professor,F,0,professor,0.9662,0.0678,0.8984,"schools, taught, include, York, how",5
72503,physician,M,1,physician,0.9937,0.9754,0.0184,"Dr, prol, medical, Dr, heart",5
4602,physician,F,1,physician,0.9994,0.9725,0.0269,"practices, affiliated, specializes, medicine, Connecticut",5
49360,psychologist,M,6,psychologist,0.8844,0.6375,0.2469,"professional, autism, assistance, consultation, dedicated",5
42951,professor,M,0,professor,0.998,0.1302,0.8678,"university, funded, ton, affiliated, Fund",5
77124,professor,M,0,professor,0.999,0.9979,0.0011,"PhD, leads, genome, Dr, program",5
39711,physician,M,1,physician,0.6804,0.039,0.6414,"patient, rating, Dr, Dash, licensed",5
30282,psychologist,M,6,psychologist,0.4177,0.3087,0.109,"leadership, focuses, conferences, strategy, major",5
33409,professor,M,0,professor,0.9922,0.0656,0.9266,"University, at, Team, also, is",5
36561,model,M,12,model,0.9983,0.9973,0.001,"photographers, cm, Born, professional, influ",5
10637,professor,M,0,professor,0.8972,0.6651,0.2321,"University, services, Department, College, 1999",5
24817,attorney,F,2,attorney,0.477,0.292,0.1851,"conservative, book, Texas, leadership, state",5
31505,software engineer,M,15,software engineer,0.9587,0.9588,-0.0001,"application, development, front, years, web",5
58312,journalist,F,4,journalist,0.9976,0.9973,0.0003,"news, newspapers, Hungarian, dealing, online",5
42143,psychologist,M,6,psychologist,0.9982,0.9974,0.0007,"otherapy, Psychology, psych, practices, neuroscience",5
4145,attorney,F,2,attorney,0.9853,0.9932,-0.0079,"Law, School, executive, of, business",5
64458,photographer,M,3,photographer,0.7694,0.0021,0.7674,"Photography, ural, representation, work, professional",5
74377,psychologist,M,6,psychologist,0.1978,0.0699,0.1279,"human, impulses, electro, sockets, humans",5
20281,professor,M,0,professor,0.9974,0.9955,0.0019,"Lab, Ph, Director, omics, mechanisms",5
55020,model,M,12,model,0.4995,0.0648,0.4347,"models, and, their, results, with",5
74809,psychologist,F,6,psychologist,0.9958,0.955,0.0408,"counselling, body, workshops, acceptance, radical",5
27933,professor,M,0,professor,0.9987,0.994,0.0047,"faculty, Assistant, Prior, Research, inaugural",5
11662,professor,F,0,professor,0.9994,0.999,0.0004,"Ph, research, Faculty, interests, behavior",5
83094,professor,M,0,professor,0.9984,0.9932,0.0052,"Studies, program, research, program, director",5
42156,physician,M,1,physician,0.9672,0.9151,0.0521,"Medical, Dr, residency, Doctors, University",5
15615,architect,M,10,architect,0.5095,0.3697,0.1398,"Java, startup, management, small, acquired",5
79286,nurse,F,5,nurse,0.9976,0.9823,0.0153,"Nursing, nursing, Clinical, Instructor, clinical",5
43044,photographer,F,3,photographer,0.996,0.218,0.778,"capturing, keen, moments, small, world",5
79135,professor,F,0,professor,0.9993,0.9957,0.0036,"doctor, journal, philosophy, philosophy, editor",5
17636,professor,M,0,professor,0.9991,0.9916,0.0075,"director, Neuroscience, Dr, Center, neural",5
54221,poet,M,13,poet,0.9882,0.965,0.0232,"poets, prose, literature, Ireland, Irish",5
73575,photographer,M,3,photographer,0.9967,0.0934,0.9033,"photographs, campaigns, campaigns, clients, Also",5
13578,journalist,M,4,journalist,0.859,0.761,0.098,"website, name, writes, called, MAS",5
5448,professor,F,0,professor,0.9955,0.269,0.7265,"studies, researcher, questions, organizational, organization",5
80601,architect,M,10,architect,0.9942,0.9899,0.0043,"Architects, Architect, Design, project, competitions",5
43877,nurse,F,5,nurse,0.9893,0.7903,0.199,"promotion, health, prevention, scope, health",5
44557,professor,M,0,professor,0.9995,0.9995,0.0001,"University, Ph, research, University, conducts",5
61558,architect,M,10,architect,0.8477,0.6982,0.1495,"experience, initiatives, deployments, degree, cloud",5
12480,professor,M,0,professor,0.8699,0.4547,0.4152,"Faculty, areas, University, India, Prior",5
37372,dentist,F,8,dentist,0.9904,0.9733,0.0171,"dental, surgery, Dr, especially, interested",5
48225,surgeon,F,9,surgeon,0.7754,0.0007,0.7747,"surgery, medical, general, Health, Medicine",5
35423,composer,F,17,composer,0.9051,0.4393,0.4659,"Compos, works, semble, Orchestra, Orchestra",5
4598,teacher,M,7,teacher,0.9966,0.9969,-0.0003,"achers, Te, College, My, College",5
76006,journalist,F,4,journalist,0.9974,0.9976,-0.0003,"Times, organisation, author, fact, selling",5
52486,physician,F,1,physician,0.9994,0.4012,0.5981,"MD, credentials, professional, License, practices",5
702,professor,M,0,professor,0.961,0.97,-0.009,"Law, published, law, University, Chicago",5
71994,journalist,F,4,journalist,0.996,0.9468,0.0492,"publications, news, both, Globe, mainstream",5
