profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
painter,0.4089,0.3278,0.9043,0.4954,60
journalist,0.406,0.4062,0.893,0.487,146
photographer,0.4036,0.279,0.9432,0.5396,197
teacher,0.3839,0.3226,0.8596,0.4757,118
dietitian,0.3654,0.1345,0.9236,0.5582,34
architect,0.3413,0.1675,0.8955,0.5542,67
psychologist,0.3383,0.2471,0.872,0.5337,132
accountant,0.3337,0.0622,0.9533,0.6196,39
comedian,0.3327,0.109,0.9126,0.58,25
physician,0.2924,0.1074,0.9221,0.6297,324
surgeon,0.2899,0.0175,0.9019,0.612,97
composer,0.2865,0.0266,0.946,0.6595,49
filmmaker,0.2791,0.0398,0.934,0.6549,53
nurse,0.274,0.0748,0.8813,0.6073,147
poet,0.2457,0.0602,0.9041,0.6583,57
professor,0.1992,0.0132,0.9609,0.7617,947
attorney,0.1873,0.0009,0.9405,0.7532,269
software engineer,0.1864,0.0668,0.8618,0.6754,60
model,0.1789,0.012,0.8621,0.6833,65
dentist,0.0929,0.0018,0.9722,0.8793,114
