profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.4768,0.9607,0.4839,11
accountant,M,0.2776,0.9504,0.6729,28
architect,F,0.4128,0.9414,0.5286,18
architect,M,0.3151,0.8787,0.5636,49
attorney,F,0.1615,0.9372,0.7757,112
attorney,M,0.2057,0.9428,0.7372,157
comedian,F,0.4441,0.8515,0.4073,5
comedian,M,0.3048,0.9279,0.6231,20
composer,F,0.3718,0.8977,0.5259,13
composer,M,0.2557,0.9634,0.7077,36
dentist,F,0.1086,0.965,0.8564,31
dentist,M,0.087,0.9748,0.8878,83
dietitian,F,0.4083,0.9257,0.5174,30
dietitian,M,0.0434,0.9078,0.8644,4
filmmaker,F,0.1194,0.9538,0.8344,20
filmmaker,M,0.3758,0.922,0.5462,33
journalist,F,0.4384,0.9171,0.4787,75
journalist,M,0.3718,0.8675,0.4957,71
model,F,0.1533,0.8775,0.7242,52
model,M,0.2811,0.8008,0.5196,13
nurse,F,0.2382,0.8889,0.6508,124
nurse,M,0.4672,0.8402,0.373,23
painter,F,0.4474,0.8892,0.4418,30
painter,M,0.3703,0.9193,0.549,30
photographer,F,0.4029,0.9491,0.5462,71
photographer,M,0.4041,0.9399,0.5359,126
physician,F,0.3245,0.9229,0.5984,167
physician,M,0.2583,0.9213,0.663,157
poet,F,0.1899,0.8933,0.7034,30
poet,M,0.3077,0.916,0.6083,27
professor,F,0.1884,0.9673,0.7789,411
professor,M,0.2074,0.956,0.7485,536
psychologist,F,0.3832,0.8935,0.5104,81
psychologist,M,0.2671,0.8377,0.5706,51
software engineer,F,0.3536,0.8879,0.5342,7
software engineer,M,0.1643,0.8584,0.6941,53
surgeon,F,0.4007,0.8461,0.4454,19
surgeon,M,0.2629,0.9154,0.6525,78
teacher,F,0.3938,0.8759,0.482,75
teacher,M,0.3667,0.8313,0.4646,43
