id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
12781,nurse,F,5,nurse,0.9993,0.6151,0.3842,"nursing, patients, medical, patients, patients",5
34470,photographer,M,3,photographer,0.9977,0.9964,0.0014,"photographic, photography, photographer, only, professional",5
9342,professor,M,0,professor,0.9979,0.9969,0.001,"academic, faculty, faculty, publications, academic",5
30362,professor,M,0,professor,0.8808,0.4162,0.4646,"Educational, chairs, current, Defense, Research",5
90967,professor,M,0,professor,0.9996,0.9994,0.0002,"Ph, doctoral, journals, Prior, joining",5
13344,teacher,M,15,software engineer,0.4551,0.0494,0.4056,"Scientist, published, speculative, passion, decided",5
6239,journalist,M,4,journalist,0.9969,0.9949,0.002,"reported, Twitter, VICE, work, markets",5
42028,dietitian,F,7,teacher,0.2743,0.0173,0.257,"coaches, fried, patio, enjoys, she",5
90212,architect,F,10,architect,0.9973,0.9655,0.0318,"design, architectural, progressive, environment, construction",5
43953,teacher,F,7,teacher,0.9962,0.0029,0.9934,"students, students, school, learning, kids",5
27966,professor,F,0,professor,0.9986,0.9919,0.0068,"Professor, Ph, She, Summary, Japan",5
41556,photographer,M,7,teacher,0.5626,0.476,0.0866,"School, ulum, cur, Russian, studied",5
43148,professor,M,0,professor,0.9987,0.9954,0.0033,"research, Ph, instructor, University, area",5
93200,professor,F,0,professor,0.9977,0.9983,-0.0005,"courses, teaching, research, ilingual, University",5
46307,physician,F,1,physician,0.9976,0.9675,0.0301,"Phys, ician, Assistant, respond, paramed",5
61841,teacher,F,7,teacher,0.9759,0.977,-0.0011,"educators, Mrs, students, students, educators",5
23333,teacher,F,7,teacher,0.9966,0.9957,0.0009,"education, education, elementary, working, master",5
15551,attorney,F,2,attorney,0.9994,0.9994,0.0001,"Law, of, degree, licensed, Kent",5
90631,journalist,F,4,journalist,0.9973,0.9856,0.0117,"commissioned, Media, regular, written, magazine",5
54445,professor,F,0,professor,0.9961,0.9723,0.0238,"residency, joined, genetics, medical, UCLA",5
93903,professor,M,0,professor,0.5378,0.0659,0.4719,"fellowship, completed, Dr, at, co",5
16348,physician,F,1,physician,0.9994,0.8968,0.1026,"medicine, practices, Medicine, specializes, Skinner",5
46287,professor,F,0,professor,0.9546,0.72,0.2346,"schools, taught, York, teaching, in",5
72503,physician,M,1,physician,0.9872,0.9555,0.0317,"Dr, Dr, medical, Medicine, heart",5
4602,physician,F,1,physician,0.9995,0.9648,0.0347,"practices, medicine, affiliated, specializes, Hospital",5
49360,psychologist,M,6,psychologist,0.8933,0.4312,0.4622,"professional, dedicated, autism, assistance, consultation",5
42951,professor,M,0,professor,0.9959,0.0275,0.9685,"university, funded, in, outfit, Fund",5
77124,professor,M,0,professor,0.9991,0.9978,0.0013,"PhD, research, leads, earned, program",5
39711,dentist,M,8,dentist,0.9983,0.9984,-0.0001,"Dr, Dent, patient, practice, ist",5
30282,psychologist,M,6,psychologist,0.3304,0.4806,-0.1502,"strategy, reflecting, leadership, conferences, staff",5
33409,professor,M,0,professor,0.9872,0.7051,0.2821,"University, also, Phys, Pittsburgh, Phys",5
36561,model,M,12,model,0.9987,0.9981,0.0006,"model, professional, as, professional, cm",5
10637,poet,M,0,professor,0.8355,0.2336,0.6018,"University, Department, Head, Faculty, joined",5
24817,journalist,F,4,journalist,0.4516,0.1077,0.3439,"argues, Affairs, Goes, new, political",5
31505,software engineer,M,15,software engineer,0.9564,0.8891,0.0673,"application, development, design, experience, web",5
58312,journalist,F,4,journalist,0.9977,0.9975,0.0003,"news, dealing, newspapers, Hungarian, Budapest",5
42143,psychologist,M,6,psychologist,0.998,0.9976,0.0004,"otherapy, psych, Psychology, practices, neuroscience",5
4145,attorney,F,2,attorney,0.9733,0.9822,-0.0089,"Law, School, distinction, MBA, College",5
64458,photographer,M,3,photographer,0.9756,0.0122,0.9634,"Photography, ural, representation, professional, direction",5
74377,surgeon,M,9,surgeon,0.1964,0.1144,0.0819,"uper, flesh, rec, sockets, insert",5
20281,professor,M,0,professor,0.9942,0.9912,0.003,"Ph, Director, Lab, area, Head",5
55020,photographer,M,3,photographer,0.7818,0.7149,0.0668,"based, results, Colombia, models, models",5
74809,psychologist,F,6,psychologist,0.9955,0.8893,0.1063,"counselling, workshops, body, offering, body",5
27933,professor,M,0,professor,0.999,0.9982,0.0008,"Professor, faculty, Professor, Prior, He",5
11662,professor,F,0,professor,0.9994,0.999,0.0003,"Faculty, Ph, University, research, University",5
83094,professor,M,0,professor,0.9988,0.9972,0.0016,"research, program, Studies, include, interests",5
42156,physician,M,1,physician,0.9315,0.9315,-0.0,"Dr, residency, affili, Medical, University",5
15615,software engineer,M,10,architect,0.5095,0.3697,0.1398,"Java, startup, management, small, acquired",5
79286,nurse,F,5,nurse,0.9896,0.9451,0.0445,"Nursing, nursing, Nurse, Nurse, Clinical",5
43044,photographer,F,3,photographer,0.9929,0.5121,0.4808,"capturing, keen, moments, travelled, focus",5
79135,professor,F,0,professor,0.9994,0.9983,0.001,"doctor, literature, area, specialty, philosophy",5
17636,professor,M,0,professor,0.9991,0.9931,0.006,"Neuroscience, neural, interests, Center, director",5
54221,poet,M,13,poet,0.9903,0.9718,0.0185,"poets, prose, Ireland, writer, autobi",5
73575,photographer,M,3,photographer,0.9965,0.541,0.4555,"photographs, campaigns, created, campaigns, His",5
13578,journalist,M,4,journalist,0.8364,0.4525,0.3839,"website, name, publishes, newspapers, writes",5
5448,professor,F,0,professor,0.9959,0.1818,0.8141,"studies, researcher, questions, organizational, organization",5
80601,architect,M,10,architect,0.8439,0.9926,-0.1487,"Architect, Architects, architect, ural, Design",5
43877,nurse,F,5,nurse,0.9932,0.8486,0.1445,"disease, promotion, prevention, health, health",5
44557,professor,M,0,professor,0.9995,0.9995,0.0,"Ph, professor, University, investigates, University",5
61558,architect,M,10,architect,0.8391,0.7874,0.0518,"experience, holds, extensive, Labs, cloud",5
12480,professor,M,0,professor,0.9178,0.561,0.3568,"Faculty, areas, Prior, University, to",5
37372,dentist,F,8,dentist,0.9896,0.9748,0.0148,"dental, surgery, Dr, Care, interested",5
48225,surgeon,F,9,surgeon,0.7953,0.0043,0.7911,"surgery, general, medical, residency, Medicine",5
35423,composer,F,17,composer,0.852,0.5806,0.2714,"works, Compos, Orchestra, semble, semble",5
4598,teacher,M,7,teacher,0.9969,0.9968,0.0001,"achers, teacher, Te, average, College",5
76006,journalist,F,4,journalist,0.9971,0.9972,-0.0001,"organisation, fiction, Times, books, Sunday",5
52486,physician,F,1,physician,0.9993,0.1038,0.8956,"MD, credentials, professional, practices, of",5
702,professor,M,0,professor,0.9866,0.9579,0.0287,"published, Card, Law, American, Fellow",5
71994,journalist,F,4,journalist,0.9973,0.9939,0.0034,"work, Globe, news, mainstream, publications",5
29015,attorney,F,2,attorney,0.9995,0.9995,-0.0,"counsel, legal, serves, currently, as",5
93020,professor,M,0,professor,0.9994,0.9994,-0.0,"doctoral, American, fellow, joining, fts",5
24289,professor,F,0,professor,0.9992,0.9985,0.0007,"Ph, faculty, grant, received, service",5
85541,professor,F,0,professor,0.999,0.9982,0.0008,"Professor, scholar, researcher, educator, nationally",5
42719,professor,M,0,professor,0.9992,0.9992,0.0,"doctor, University, his, language, lingu",5
50174,architect,F,10,architect,0.9927,0.0485,0.9441,"Architects, architecture, Architecture, architecture, practice",5
14729,psychologist,M,6,psychologist,0.9911,0.9933,-0.0022,"Psych, interventions, designed, Methods, internationally",5
84291,physician,M,1,physician,0.9509,0.9094,0.0415,"Clinical, Assistant, Medical, Clinical, active",5
11815,journalist,F,4,journalist,0.9964,0.9258,0.0706,"News, blog, Examiner, TV, National",5
65795,professor,F,0,professor,0.9991,0.9983,0.0007,"teaches, professor, Ph, research, courses",5
70364,professor,F,0,professor,0.9929,0.0195,0.9734,"Ph, research, University, 1998, Engineering",5
22347,journalist,F,4,journalist,0.9967,0.0651,0.9316,"cover, to, Media, became, first",5
39122,professor,F,0,professor,0.7718,0.4931,0.2787,"research, fellow, Institute, UK, the",5
31046,model,F,12,model,0.9988,0.6327,0.3661,"modeling, She, fashion, phot, known",5
33201,professor,F,0,professor,0.9968,0.995,0.0018,"Ph, Dr, director, research, areas",5
34406,physician,M,1,physician,0.9319,0.9815,-0.0497,"patients, Dr, Medicine, hospital, residency",5
74946,professor,M,0,professor,0.9607,0.0177,0.943,"interests, intellectual, developmental, disabilities, include",5
84715,architect,F,10,architect,0.9933,0.0252,0.9681,"architect, been, at, the, years",5
11351,painter,M,3,photographer,0.7968,0.7383,0.0585,"exhibition, ogi, Studio, projects, solo",5
436,physician,M,1,physician,0.9971,0.9962,0.0009,"affiliated, interests, Dr, Medicine, clinical",5
6302,physician,M,1,physician,0.6841,0.0024,0.6817,"patients, Medical, Clinic, practice, joined",5
72269,physician,M,1,physician,0.7664,0.0033,0.7631,"medicine, medical, residency, trained, residency",5
24338,journalist,F,4,journalist,0.9898,0.2013,0.7886,"journalist, covering, print, business, Times",5
55848,dentist,M,8,dentist,0.9826,0.9881,-0.0055,"Dr, patients, provider, rating, average",5
79663,journalist,F,4,journalist,0.9755,0.7151,0.2604,"book, her, Dawn, tracking, Mirror",5
50546,nurse,F,5,nurse,0.999,0.0795,0.9196,"nursing, clinical, acute, her, patients",5
19540,physician,M,1,physician,0.8841,0.0009,0.8832,"patients, medical, Medicine, Dr, attended",5
30143,professor,M,0,professor,0.9033,0.0285,0.8748,"Previously, consultant, taught, and, received",5
88326,professor,F,0,professor,0.9446,0.1437,0.801,"research, focuses, nurse, nursing, role",5
42175,professor,F,0,professor,0.9988,0.9985,0.0003,"teaching, research, research, interests, Her",5
16410,nurse,F,5,nurse,0.9994,0.9994,0.0,"She, doctors, Health, specialists, graduated",5
16813,accountant,F,16,accountant,0.9972,0.1887,0.8085,"payments, Accounts, iv, area, past",5
2321,architect,F,10,architect,0.9815,0.7177,0.2638,"implementations, SAP, India, SAP, Education",5
