profession,mean_faithfulness,median_faithfulness,mean_prob_original,mean_prob_erased,n
painter,0.4265,0.3382,0.9221,0.4956,57
journalist,0.3878,0.2658,0.9001,0.5123,152
photographer,0.3619,0.1835,0.9373,0.5754,203
comedian,0.3488,0.0768,0.8888,0.54,25
architect,0.3457,0.1551,0.8888,0.5431,69
teacher,0.345,0.2867,0.845,0.5001,131
dietitian,0.3274,0.0422,0.9592,0.6318,30
accountant,0.2768,0.0041,0.9352,0.6584,41
filmmaker,0.2684,0.035,0.93,0.6616,57
poet,0.2545,0.0627,0.8902,0.6357,56
physician,0.237,0.0615,0.9199,0.6829,328
surgeon,0.2348,0.0025,0.904,0.6692,101
psychologist,0.2308,0.0162,0.9301,0.6994,129
software engineer,0.2052,0.0902,0.8418,0.6365,58
professor,0.2019,0.012,0.9638,0.7619,944
attorney,0.1923,0.0008,0.9594,0.7671,264
nurse,0.1734,0.0011,0.9311,0.7578,146
composer,0.1723,0.0247,0.9762,0.8039,43
model,0.1619,0.0015,0.9711,0.8092,51
dentist,0.0888,0.0006,0.9714,0.8826,115
