profession,gender,mean_faithfulness,mean_prob_original,mean_prob_erased,n
accountant,F,0.4492,0.9232,0.474,12
accountant,M,0.2055,0.9402,0.7347,29
architect,F,0.3933,0.9564,0.5631,17
architect,M,0.3302,0.8668,0.5366,52
attorney,F,0.1916,0.9681,0.7765,108
attorney,M,0.1928,0.9534,0.7606,156
comedian,F,0.6511,0.9251,0.274,4
comedian,M,0.2912,0.8819,0.5907,21
composer,F,0.1864,0.9738,0.7874,10
composer,M,0.1681,0.977,0.8089,33
dentist,F,0.078,0.9667,0.8887,31
dentist,M,0.0927,0.9732,0.8804,84
dietitian,F,0.3203,0.9617,0.6413,28
dietitian,M,0.4264,0.9243,0.498,2
filmmaker,F,0.2139,0.9522,0.7383,20
filmmaker,M,0.2979,0.918,0.6201,37
journalist,F,0.3839,0.9062,0.5223,84
journalist,M,0.3927,0.8926,0.4999,68
model,F,0.1217,0.9884,0.8667,41
model,M,0.3268,0.9004,0.5736,10
nurse,F,0.1557,0.9297,0.774,130
nurse,M,0.3172,0.9428,0.6256,16
painter,F,0.4325,0.9004,0.4679,28
painter,M,0.4207,0.9431,0.5224,29
photographer,F,0.3922,0.9257,0.5335,72
photographer,M,0.3452,0.9437,0.5985,131
physician,F,0.2691,0.9221,0.653,174
physician,M,0.2007,0.9176,0.7168,154
poet,F,0.2154,0.8727,0.6573,28
poet,M,0.2937,0.9076,0.614,28
professor,F,0.1808,0.9684,0.7876,411
professor,M,0.2182,0.9603,0.7421,533
psychologist,F,0.2472,0.9461,0.6988,77
psychologist,M,0.2064,0.9066,0.7002,52
software engineer,F,0.264,0.8595,0.5955,7
software engineer,M,0.1972,0.8393,0.6422,51
surgeon,F,0.4187,0.9278,0.5092,15
surgeon,M,0.2027,0.8999,0.6971,86
teacher,F,0.2997,0.842,0.5422,85
teacher,M,0.4285,0.8507,0.4222,46
