model_name,macro_f1,accuracy,dp_diff,eo_diff,avg_tpr_gap,avg_fpr_gap
distilbert_masked (Masked),0.8437312391924857,0.872,0.021961686454306566,0.07099865017488335,0.07099865017488335,0.0039632976653266715
roberta_unmasked (Unmasked),0.8505270675632511,0.8823333333333333,0.02381135524910602,0.08150222894759677,0.08150222894759677,0.004562932442141306
roberta_masked (Masked),0.8506019169683412,0.88,0.021728062910205202,0.06273465776692058,0.06273465776692058,0.0041336222007070655
distilbert_unmasked (Unmasked),0.8433775806340907,0.8746666666666667,0.02241998930268917,0.08779453316479183,0.08779453316479183,0.0038659964632867883
pythia_1.4b_fewshot_unmasked (Unmasked),0.5183681388165577,0.5123333333333333,0.024778227573660282,0.119737058909938,0.119737058909938,0.011361837655291598
pythia_410m_zeroshot_unmasked (Unmasked),0.5538586935847628,0.531,0.03795917491176507,0.13532845799977927,0.13532845799977927,0.021346335951832728
pythia_410m_zeroshot_masked (Masked),0.5617775736541386,0.5296666666666666,0.023954910298218845,0.0946846232631343,0.0946846232631343,0.012114688030710908
pythia_1.4b_zeroshot_unmasked (Unmasked),0.5674709431460624,0.658,0.028820397875564154,0.20918913232799546,0.20918913232799546,0.01919036635267621
pythia_160m_fewshot_masked (Masked),0.2438546608957599,0.3343333333333333,0.008777519189866535,0.06864077504851958,0.06864077504851958,0.005736944420130943
pythia_1.4b_zeroshot_masked (Masked),0.5180793861275845,0.618,0.013775828728540532,0.1342338439404767,0.1342338439404767,0.005294847925488596
pythia_160m_fewshot_unmasked (Unmasked),0.2427797622180138,0.35333333333333333,0.012363175491351814,0.06503486664238191,0.06503486664238191,0.008703287159909121
pythia_160m_zeroshot_masked (Masked),0.20750315844486317,0.36966666666666664,0.011781710460646237,0.05781458098347183,0.05781458098347183,0.009409406625181166
pythia_410m_fewshot_unmasked (Unmasked),0.37814371698391647,0.364,0.01946239752137226,0.10790294633563438,0.10790294633563438,0.0102925540132922
pythia_1.4b_fewshot_masked (Masked),0.490582092267981,0.489,0.017347979227897443,0.08326647472165723,0.08326647472165723,0.00846859031394282
pythia_410m_fewshot_masked (Masked),0.3601179277990408,0.35433333333333333,0.014405324327080115,0.10278851096375999,0.10278851096375999,0.00816994404522705
pythia_160m_zeroshot_unmasked (Unmasked),0.22707234534819665,0.40166666666666667,0.027098542267794113,0.08499211020804202,0.08499211020804202,0.024885004421840405
pythia_410m_masked_finetuned (Masked),0.3253729620677538,0.5756666666666667,0.011424209195036302,0.08781158732744912,0.08781158732744912,0.006097280630388984
pythia_1.4b_masked_full (Masked),0.8524158602711408,0.877,0.02240040141748313,0.07987557926709118,0.07987557926709118,0.003139485365928818
pythia_160m_masked_finetuned (Masked),0.09362665613808707,0.38166666666666665,0.005264669000516972,0.027138115035384602,0.027138115035384602,0.0036297136703511376
pythia_1.4b_finetuned (Unmasked),0.8484405806321321,0.8766666666666667,0.023369688686788816,0.08620383118592786,0.08620383118592786,0.00409084248351951
pythia_410m_finetuned (Unmasked),0.32256043875908313,0.5813333333333334,0.011859793674275832,0.08537956324111583,0.08537956324111583,0.005994186830475664
pythia_160m_finetuned (Unmasked),0.12461176027348442,0.3903333333333333,0.012046549401719796,0.04249369462116304,0.04249369462116304,0.008443859330296968
